Inference for Bugs model at "ORL.txt", fit using jags,
 3 chains, each with 5000 iterations (first 1000 discarded)
 n.sims = 12000 iterations saved. Running time = secs
         mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
K          2.656   1.561   0.444   1.480   2.375   3.536   6.327 1.002  1300
a_pun      0.079   0.049   0.007   0.042   0.072   0.108   0.191 1.001  7000
a_rew      0.249   0.187   0.012   0.112   0.208   0.340   0.739 1.006   770
omega_f    0.075   0.864  -1.386  -0.483   0.001   0.542   1.954 1.003  3000
omega_p   -3.333   1.498  -6.751  -4.184  -3.147  -2.257  -0.971 1.002  1400
p[1,1]     0.250   0.000   0.250   0.250   0.250   0.250   0.250 1.000     1
p[2,1]     0.244   0.014   0.212   0.238   0.245   0.250   0.270 1.002  4500
p[3,1]     0.138   0.038   0.074   0.111   0.134   0.159   0.222 1.001 12000
p[4,1]     0.222   0.036   0.150   0.200   0.224   0.245   0.292 1.002  2900
p[5,1]     0.107   0.043   0.042   0.077   0.101   0.130   0.208 1.001 12000
p[6,1]     0.190   0.047   0.098   0.157   0.191   0.223   0.283 1.002  2800
p[7,1]     0.234   0.050   0.136   0.200   0.234   0.268   0.330 1.002  3000
p[8,1]     0.250   0.055   0.146   0.212   0.249   0.286   0.360 1.001  4900
p[9,1]     0.253   0.060   0.145   0.212   0.251   0.291   0.375 1.001  8600
p[10,1]    0.242   0.061   0.131   0.199   0.239   0.282   0.366 1.001  5500
p[11,1]    0.238   0.053   0.149   0.199   0.234   0.274   0.349 1.002  2000
p[12,1]    0.249   0.052   0.159   0.212   0.245   0.283   0.359 1.001  3500
p[13,1]    0.229   0.047   0.146   0.195   0.225   0.260   0.326 1.001  3600
p[14,1]    0.221   0.055   0.127   0.181   0.216   0.258   0.337 1.001  3800
p[15,1]    0.203   0.053   0.113   0.164   0.198   0.240   0.315 1.001  3400
p[16,1]    0.196   0.052   0.109   0.158   0.191   0.231   0.306 1.002  2900
p[17,1]    0.223   0.055   0.127   0.183   0.219   0.260   0.338 1.001  4200
p[18,1]    0.210   0.055   0.117   0.170   0.205   0.247   0.329 1.001  3800
p[19,1]    0.215   0.065   0.107   0.168   0.208   0.256   0.357 1.001  7700
p[20,1]    0.209   0.061   0.109   0.165   0.202   0.248   0.342 1.001  5800
p[21,1]    0.261   0.056   0.164   0.223   0.255   0.294   0.381 1.001 12000
p[22,1]    0.264   0.060   0.157   0.224   0.260   0.301   0.392 1.001 11000
p[23,1]    0.239   0.058   0.141   0.198   0.233   0.275   0.362 1.001  6300
p[24,1]    0.256   0.061   0.146   0.214   0.252   0.294   0.385 1.001  7100
p[25,1]    0.237   0.057   0.132   0.198   0.234   0.274   0.353 1.001  5800
p[26,1]    0.116   0.038   0.052   0.088   0.112   0.140   0.201 1.001 12000
p[27,1]    0.206   0.041   0.123   0.180   0.207   0.233   0.289 1.002  2900
p[28,1]    0.254   0.044   0.160   0.226   0.255   0.283   0.340 1.001  4400
p[29,1]    0.127   0.037   0.064   0.101   0.124   0.150   0.207 1.001  6200
p[30,1]    0.228   0.037   0.144   0.206   0.233   0.253   0.290 1.002  2400
p[31,1]    0.135   0.037   0.071   0.109   0.132   0.158   0.215 1.001  6400
p[32,1]    0.248   0.036   0.175   0.226   0.248   0.269   0.321 1.002  1600
p[33,1]    0.118   0.035   0.060   0.092   0.114   0.139   0.194 1.001  9000
p[34,1]    0.230   0.027   0.170   0.214   0.233   0.248   0.279 1.002  2000
p[35,1]    0.136   0.035   0.077   0.111   0.133   0.157   0.211 1.001  4700
p[36,1]    0.243   0.031   0.176   0.224   0.245   0.263   0.301 1.001  4200
p[37,1]    0.143   0.037   0.081   0.117   0.140   0.166   0.225 1.001  5400
p[38,1]    0.274   0.035   0.206   0.251   0.273   0.296   0.349 1.001  6700
p[39,1]    0.330   0.036   0.261   0.306   0.328   0.353   0.406 1.001  6400
p[40,1]    0.368   0.050   0.281   0.331   0.364   0.400   0.474 1.003  1100
p[41,1]    0.348   0.047   0.267   0.313   0.344   0.380   0.446 1.003   860
p[42,1]    0.352   0.045   0.272   0.321   0.349   0.380   0.445 1.002  1300
p[43,1]    0.131   0.044   0.064   0.100   0.125   0.156   0.235 1.001  6900
p[44,1]    0.244   0.046   0.161   0.213   0.242   0.275   0.337 1.002  1700
p[45,1]    0.288   0.045   0.207   0.256   0.285   0.318   0.382 1.002  2300
