,win,loss,total_pr_trial,accumulated_score,deck_select,no,session,sub_ID,data_type,Study,Group
22100,100,0,100,2100,2,1,1,222,unknown,SteingroverInPrep,2
22101,50,0,50,2150,3,2,1,222,unknown,SteingroverInPrep,2
22102,50,0,50,2200,4,3,1,222,unknown,SteingroverInPrep,2
22103,100,0,100,2300,1,4,1,222,unknown,SteingroverInPrep,2
22104,50,0,50,2350,3,5,1,222,unknown,SteingroverInPrep,2
22105,100,0,100,2450,2,6,1,222,unknown,SteingroverInPrep,2
22106,100,0,100,2550,1,7,1,222,unknown,SteingroverInPrep,2
22107,50,-50,0,2550,3,8,1,222,unknown,SteingroverInPrep,2
22108,50,0,50,2600,4,9,1,222,unknown,SteingroverInPrep,2
22109,100,0,100,2700,2,10,1,222,unknown,SteingroverInPrep,2
22110,100,0,100,2800,1,11,1,222,unknown,SteingroverInPrep,2
22111,50,-50,0,2800,3,12,1,222,unknown,SteingroverInPrep,2
22112,100,0,100,2900,2,13,1,222,unknown,SteingroverInPrep,2
22113,100,0,100,3000,2,14,1,222,unknown,SteingroverInPrep,2
22114,100,-150,-50,2950,1,15,1,222,unknown,SteingroverInPrep,2
22115,50,0,50,3000,3,16,1,222,unknown,SteingroverInPrep,2
22116,100,0,100,3100,2,17,1,222,unknown,SteingroverInPrep,2
22117,50,0,50,3150,3,18,1,222,unknown,SteingroverInPrep,2
22118,50,-250,-200,2950,4,19,1,222,unknown,SteingroverInPrep,2
22119,100,0,100,3050,1,20,1,222,unknown,SteingroverInPrep,2
22120,100,-300,-200,2850,1,21,1,222,unknown,SteingroverInPrep,2
22121,100,0,100,2950,2,22,1,222,unknown,SteingroverInPrep,2
22122,100,0,100,3050,2,23,1,222,unknown,SteingroverInPrep,2
22123,50,-50,0,3050,3,24,1,222,unknown,SteingroverInPrep,2
22124,100,0,100,3150,1,25,1,222,unknown,SteingroverInPrep,2
22125,100,-350,-250,2900,1,26,1,222,unknown,SteingroverInPrep,2
22126,100,-1250,-1150,1750,2,27,1,222,unknown,SteingroverInPrep,2
22127,50,0,50,1800,3,28,1,222,unknown,SteingroverInPrep,2
22128,50,-50,0,1800,3,29,1,222,unknown,SteingroverInPrep,2
22129,100,0,100,1900,2,30,1,222,unknown,SteingroverInPrep,2
22130,50,0,50,1950,4,31,1,222,unknown,SteingroverInPrep,2
22131,100,0,100,2050,2,32,1,222,unknown,SteingroverInPrep,2
22132,50,-50,0,2050,3,33,1,222,unknown,SteingroverInPrep,2
22133,100,-1250,-1150,900,2,34,1,222,unknown,SteingroverInPrep,2
22134,100,-250,-150,750,1,35,1,222,unknown,SteingroverInPrep,2
22135,50,0,50,800,4,36,1,222,unknown,SteingroverInPrep,2
22136,50,-50,0,800,3,37,1,222,unknown,SteingroverInPrep,2
22137,50,0,50,850,4,38,1,222,unknown,SteingroverInPrep,2
22138,100,0,100,950,2,39,1,222,unknown,SteingroverInPrep,2
22139,100,0,100,1050,2,40,1,222,unknown,SteingroverInPrep,2
22140,50,-50,0,1050,3,41,1,222,unknown,SteingroverInPrep,2
22141,100,0,100,1150,2,42,1,222,unknown,SteingroverInPrep,2
22142,100,-200,-100,1050,1,43,1,222,unknown,SteingroverInPrep,2
22143,100,0,100,1150,1,44,1,222,unknown,SteingroverInPrep,2
22144,50,0,50,1200,3,45,1,222,unknown,SteingroverInPrep,2
22145,100,0,100,1300,2,46,1,222,unknown,SteingroverInPrep,2
22146,50,0,50,1350,4,47,1,222,unknown,SteingroverInPrep,2
22147,100,0,100,1450,2,48,1,222,unknown,SteingroverInPrep,2
22148,100,0,100,1550,2,49,1,222,unknown,SteingroverInPrep,2
22149,50,0,50,1600,3,50,1,222,unknown,SteingroverInPrep,2
22150,100,0,100,1700,1,51,1,222,unknown,SteingroverInPrep,2
22151,50,0,50,1750,4,52,1,222,unknown,SteingroverInPrep,2
22152,50,0,50,1800,3,53,1,222,unknown,SteingroverInPrep,2
22153,100,0,100,1900,2,54,1,222,unknown,SteingroverInPrep,2
22154,100,0,100,2000,2,55,1,222,unknown,SteingroverInPrep,2
22155,100,0,100,2100,1,56,1,222,unknown,SteingroverInPrep,2
22156,50,0,50,2150,3,57,1,222,unknown,SteingroverInPrep,2
22157,100,0,100,2250,2,58,1,222,unknown,SteingroverInPrep,2
22158,50,0,50,2300,4,59,1,222,unknown,SteingroverInPrep,2
22159,100,-200,-100,2200,1,60,1,222,unknown,SteingroverInPrep,2
