"gain" "loss" "deck" "trial" "subjID"
100 0 2 1 222
50 0 3 2 222
50 0 4 3 222
100 0 1 4 222
50 0 3 5 222
100 0 2 6 222
100 0 1 7 222
50 -50 3 8 222
50 0 4 9 222
100 0 2 10 222
100 0 1 11 222
50 -50 3 12 222
100 0 2 13 222
100 0 2 14 222
100 -150 1 15 222
50 0 3 16 222
100 0 2 17 222
50 0 3 18 222
50 -250 4 19 222
100 0 1 20 222
100 -300 1 21 222
100 0 2 22 222
100 0 2 23 222
50 -50 3 24 222
100 0 1 25 222
100 -350 1 26 222
100 -1250 2 27 222
50 0 3 28 222
50 -50 3 29 222
100 0 2 30 222
50 0 4 31 222
100 0 2 32 222
50 -50 3 33 222
100 -1250 2 34 222
100 -250 1 35 222
50 0 4 36 222
50 -50 3 37 222
50 0 4 38 222
100 0 2 39 222
100 0 2 40 222
50 -50 3 41 222
100 0 2 42 222
100 -200 1 43 222
100 0 1 44 222
50 0 3 45 222
100 0 2 46 222
50 0 4 47 222
100 0 2 48 222
100 0 2 49 222
50 0 3 50 222
100 0 1 51 222
50 0 4 52 222
50 0 3 53 222
100 0 2 54 222
100 0 2 55 222
100 0 1 56 222
50 0 3 57 222
100 0 2 58 222
50 0 4 59 222
100 -200 1 60 222
100 0 2 61 222
50 -50 3 62 222
100 0 2 63 222
100 -1250 2 64 222
100 -150 1 65 222
50 0 4 66 222
50 0 4 67 222
50 -50 3 68 222
100 -300 1 69 222
50 -50 3 70 222
50 0 4 71 222
100 0 2 72 222
100 0 2 73 222
100 0 2 74 222
50 0 3 75 222
50 0 4 76 222
100 0 1 77 222
50 -50 3 78 222
50 0 3 79 222
50 0 4 80 222
100 0 2 81 222
100 0 2 82 222
50 -50 3 83 222
100 -250 1 84 222
100 0 2 85 222
100 0 2 86 222
50 -50 3 87 222
50 0 4 88 222
100 0 2 89 222
50 0 3 90 222
50 -250 4 91 222
100 -350 1 92 222
100 0 2 93 222
100 0 2 94 222
50 0 3 95 222
100 0 2 96 222
100 0 1 97 222
50 -50 3 98 222
100 -150 1 99 222
50 0 3 100 222
100 0 2 1 223
50 -50 3 2 223
50 -250 4 3 223
100 0 2 4 223
100 0 2 5 223
100 -1250 2 6 223
100 0 1 7 223
100 -350 1 8 223
100 0 2 9 223
100 0 2 10 223
50 0 3 11 223
100 0 2 12 223
100 0 2 13 223
100 0 2 14 223
100 0 2 15 223
100 0 2 16 223
100 0 2 17 223
100 0 2 18 223
100 -1250 2 19 223
50 0 3 20 223
50 0 4 21 223
100 -250 1 22 223
100 0 2 23 223
100 0 2 24 223
100 0 2 25 223
100 0 2 26 223
100 0 1 27 223
100 -200 1 28 223
50 -50 3 29 223
50 0 4 30 223
50 0 4 31 223
50 0 4 32 223
100 0 2 33 223
50 0 3 34 223
100 0 2 35 223
100 -300 1 36 223
50 0 3 37 223
50 0 4 38 223
50 0 4 39 223
50 0 3 40 223
100 0 2 41 223
100 0 2 42 223
100 0 1 43 223
50 0 4 44 223
50 -50 3 45 223
100 0 2 46 223
100 0 1 47 223
50 0 4 48 223
50 -50 3 49 223
100 0 2 50 223
100 -150 1 51 223
50 -50 3 52 223
100 -1250 2 53 223
50 0 4 54 223
50 0 3 55 223
50 0 3 56 223
100 0 2 57 223
100 0 2 58 223
100 0 1 59 223
100 0 1 60 223
100 0 1 61 223
100 -150 1 62 223
100 0 2 63 223
100 0 2 64 223
100 0 2 65 223
50 0 3 66 223
50 0 4 67 223
100 -350 1 68 223
100 0 2 69 223
100 0 1 70 223
50 -50 3 71 223
50 0 4 72 223
50 0 4 73 223
50 -50 3 74 223
100 0 2 75 223
100 -300 1 76 223
50 0 3 77 223
50 0 4 78 223
50 -50 3 79 223
50 -250 4 80 223
50 0 3 81 223
100 0 2 82 223
100 0 2 83 223
50 0 4 84 223
50 0 4 85 223
50 0 4 86 223
50 0 4 87 223
50 0 4 88 223
50 -50 3 89 223
50 0 4 90 223
50 0 4 91 223
50 0 4 92 223
50 -250 4 93 223
50 -50 3 94 223
100 0 2 95 223
100 0 2 96 223
100 -200 1 97 223
100 -1250 2 98 223
50 -50 3 99 223
50 0 4 100 223
100 0 1 1 224
100 0 2 2 224
50 -50 3 3 224
50 0 4 4 224
100 -350 1 5 224
100 0 2 6 224
100 -1250 2 7 224
50 0 3 8 224
50 0 3 9 224
50 -50 3 10 224
50 -50 3 11 224
50 0 3 12 224
50 0 3 13 224
50 0 3 14 224
50 0 4 15 224
50 0 4 16 224
50 0 4 17 224
50 0 4 18 224
50 -250 4 19 224
50 0 4 20 224
50 -50 3 21 224
50 -50 3 22 224
50 -50 3 23 224
50 -50 3 24 224
50 -50 3 25 224
100 0 2 26 224
100 0 2 27 224
100 0 2 28 224
100 0 2 29 224
100 0 2 30 224
100 0 2 31 224
100 0 2 32 224
100 0 2 33 224
100 0 1 34 224
100 0 1 35 224
100 -250 1 36 224
100 0 2 37 224
100 0 2 38 224
100 0 2 39 224
100 0 2 40 224
100 0 2 41 224
100 0 2 42 224
100 0 2 43 224
100 0 2 44 224
100 -1250 2 45 224
100 -300 1 46 224
100 -150 1 47 224
100 0 1 48 224
100 0 1 49 224
100 -200 1 50 224
100 -350 1 51 224
100 -150 1 52 224
100 0 2 53 224
100 0 2 54 224
100 0 2 55 224
50 -50 3 56 224
50 0 3 57 224
50 -50 3 58 224
50 0 3 59 224
50 0 3 60 224
50 0 3 61 224
50 0 3 62 224
50 -50 3 63 224
50 -50 3 64 224
50 0 3 65 224
50 0 3 66 224
50 -50 3 67 224
50 0 3 68 224
50 0 4 69 224
50 0 4 70 224
50 0 4 71 224
50 -250 4 72 224
50 0 3 73 224
50 -50 3 74 224
50 0 3 75 224
50 -50 3 76 224
50 -50 3 77 224
50 -50 3 78 224
50 0 3 79 224
100 0 2 80 224
100 0 2 81 224
100 0 2 82 224
100 -1250 2 83 224
100 0 2 84 224
100 0 2 85 224
100 0 2 86 224
100 0 2 87 224
100 0 2 88 224
100 0 2 89 224
100 0 2 90 224
100 0 2 91 224
50 0 3 92 224
50 -50 3 93 224
50 0 3 94 224
50 0 3 95 224
50 0 3 96 224
50 -50 3 97 224
50 -50 3 98 224
50 -50 3 99 224
50 -50 3 100 224
100 0 2 1 225
50 0 3 2 225
100 0 2 3 225
50 0 3 4 225
100 0 2 5 225
100 0 2 6 225
100 0 2 7 225
100 0 2 8 225
100 0 2 9 225
100 0 2 10 225
100 0 2 11 225
100 -1250 2 12 225
50 -50 3 13 225
50 0 4 14 225
50 0 4 15 225
50 0 4 16 225
100 -350 1 17 225
100 0 2 18 225
100 0 2 19 225
100 0 2 20 225
100 0 2 21 225
100 0 2 22 225
50 -50 3 23 225
50 -50 3 24 225
50 0 3 25 225
50 0 3 26 225
50 -50 3 27 225
50 -50 3 28 225
50 0 3 29 225
50 0 3 30 225
50 0 3 31 225
50 -50 3 32 225
50 -50 3 33 225
100 0 2 34 225
50 0 3 35 225
50 -50 3 36 225
50 -50 3 37 225
50 0 3 38 225
50 0 3 39 225
50 -50 3 40 225
50 0 3 41 225
50 -50 3 42 225
50 0 3 43 225
50 -50 3 44 225
50 -50 3 45 225
50 -50 3 46 225
50 0 3 47 225
50 0 3 48 225
50 -50 3 49 225
50 0 3 50 225
50 0 3 51 225
50 0 3 52 225
50 -50 3 53 225
100 0 2 54 225
50 -50 3 55 225
50 -50 3 56 225
50 0 3 57 225
50 -50 3 58 225
50 -50 3 59 225
50 0 3 60 225
50 0 3 61 225
50 0 3 62 225
50 0 3 63 225
50 0 3 64 225
50 -50 3 65 225
50 0 3 66 225
50 -50 3 67 225
50 -50 3 68 225
50 -50 3 69 225
50 -50 3 70 225
50 0 3 71 225
50 -50 3 72 225
50 -50 3 73 225
50 -50 3 74 225
50 0 3 75 225
50 0 3 76 225
100 0 2 77 225
50 0 3 78 225
50 -50 3 79 225
50 0 3 80 225
50 -50 3 81 225
50 0 3 82 225
50 0 3 83 225
50 0 3 84 225
50 -50 3 85 225
50 -50 3 86 225
50 0 3 87 225
50 -50 3 88 225
50 -50 3 89 225
50 -50 3 90 225
50 0 3 91 225
50 0 3 92 225
50 0 3 93 225
50 -50 3 94 225
50 -50 3 95 225
50 -50 3 96 225
50 0 3 97 225
50 -50 3 98 225
50 0 3 99 225
50 0 3 100 225
100 0 2 1 226
50 -50 3 2 226
50 0 4 3 226
100 0 1 4 226
100 0 2 5 226
100 -1250 2 6 226
50 -50 3 7 226
100 -350 1 8 226
50 0 4 9 226
100 0 2 10 226
100 -300 1 11 226
50 -50 3 12 226
100 0 2 13 226
100 0 2 14 226
100 0 2 15 226
100 0 2 16 226
100 0 2 17 226
100 0 2 18 226
100 0 2 19 226
100 0 1 20 226
50 0 4 21 226
50 0 3 22 226
100 0 2 23 226
100 0 2 24 226
100 0 2 25 226
100 0 1 26 226
50 0 3 27 226
100 0 2 28 226
50 -250 4 29 226
100 0 2 30 226
100 0 2 31 226
100 0 2 32 226
100 -1250 2 33 226
100 -250 1 34 226
50 -50 3 35 226
100 0 2 36 226
100 0 2 37 226
100 0 2 38 226
100 0 2 39 226
100 0 2 40 226
100 -1250 2 41 226
100 0 2 42 226
50 0 3 43 226
100 0 1 44 226
100 0 2 45 226
100 0 2 46 226
50 0 3 47 226
100 -200 1 48 226
100 0 2 49 226
50 -50 3 50 226
100 0 2 51 226
100 0 2 52 226
50 0 3 53 226
100 -1250 2 54 226
50 0 4 55 226
50 -50 3 56 226
100 0 2 57 226
100 0 2 58 226
100 0 2 59 226
100 0 2 60 226
100 0 1 61 226
100 0 2 62 226
100 -150 1 63 226
100 0 2 64 226
100 0 2 65 226
100 0 2 66 226
100 0 1 67 226
100 0 2 68 226
100 -350 1 69 226
100 0 2 70 226
50 -50 3 71 226
100 0 2 72 226
100 0 2 73 226
100 0 2 74 226
100 0 2 75 226
100 0 2 76 226
100 0 2 77 226
50 -50 3 78 226
100 -150 1 79 226
100 -1250 2 80 226
50 -50 3 81 226
50 0 4 82 226
50 0 3 83 226
50 0 3 84 226
50 0 3 85 226
50 0 4 86 226
100 0 2 87 226
100 0 2 88 226
100 -1250 2 89 226
50 -50 3 90 226
100 0 1 91 226
100 0 2 92 226
100 0 2 93 226
100 0 2 94 226
100 0 2 95 226
100 0 2 96 226
100 0 1 97 226
100 0 2 98 226
50 0 3 99 226
100 0 2 100 226
50 -50 3 1 227
100 0 2 2 227
50 0 4 3 227
100 -300 1 4 227
100 0 2 5 227
100 0 2 6 227
100 0 2 7 227
100 0 2 8 227
100 0 2 9 227
100 0 2 10 227
100 0 2 11 227
100 0 2 12 227
50 0 4 13 227
100 -1250 2 14 227
50 -50 3 15 227
100 0 1 16 227
100 0 1 17 227
100 -350 1 18 227
50 0 4 19 227
50 0 4 20 227
50 -250 4 21 227
50 0 3 22 227
50 -50 3 23 227
50 0 3 24 227
50 0 3 25 227
50 0 3 26 227
50 -50 3 27 227
50 -50 3 28 227
50 0 3 29 227
50 0 3 30 227
50 0 4 31 227
50 0 4 32 227
100 0 2 33 227
100 0 2 34 227
100 0 2 35 227
100 0 2 36 227
50 0 3 37 227
50 0 4 38 227
100 -1250 2 39 227
50 -50 3 40 227
50 0 4 41 227
50 0 4 42 227
50 0 4 43 227
100 -200 1 44 227
100 0 2 45 227
100 0 2 46 227
100 0 2 47 227
100 0 2 48 227
100 0 2 49 227
100 0 2 50 227
100 0 2 51 227
100 0 2 52 227
100 -1250 2 53 227
50 -50 3 54 227
50 0 4 55 227
50 -250 4 56 227
100 0 1 57 227
100 0 1 58 227
100 -150 1 59 227
100 0 1 60 227
100 -250 1 61 227
100 0 1 62 227
100 0 2 63 227
100 0 2 64 227
100 0 2 65 227
100 0 2 66 227
100 0 2 67 227
100 0 2 68 227
100 -1250 2 69 227
50 -50 3 70 227
50 -50 3 71 227
50 0 3 72 227
100 0 1 73 227
100 -300 1 74 227
50 0 4 75 227
50 0 4 76 227
50 0 4 77 227
50 0 4 78 227
100 0 2 79 227
100 0 2 80 227
100 0 2 81 227
100 0 2 82 227
50 0 4 83 227
100 0 2 84 227
50 0 4 85 227
50 0 4 86 227
100 0 2 87 227
100 0 2 88 227
100 0 2 89 227
50 0 4 90 227
50 0 4 91 227
50 0 4 92 227
100 0 2 93 227
100 0 2 94 227
100 0 2 95 227
100 -1250 2 96 227
50 -250 4 97 227
100 0 2 98 227
100 0 2 99 227
100 0 2 100 227
50 0 3 1 228
100 0 1 2 228
50 -50 3 3 228
50 -50 3 4 228
100 -250 1 5 228
100 -150 1 6 228
100 -1250 2 7 228
100 0 2 8 228
50 0 4 9 228
50 -50 3 10 228
50 0 3 11 228
100 0 2 12 228
100 -300 1 13 228
50 -50 3 14 228
50 0 3 15 228
50 -50 3 16 228
50 0 4 17 228
50 0 3 18 228
50 0 4 19 228
50 0 3 20 228
50 0 3 21 228
50 0 3 22 228
50 -50 3 23 228
50 0 3 24 228
50 0 4 25 228
50 -50 3 26 228
50 0 4 27 228
50 0 4 28 228
50 0 4 29 228
50 0 4 30 228
50 0 4 31 228
50 -50 3 32 228
50 0 3 33 228
50 -250 4 34 228
50 0 3 35 228
50 -50 3 36 228
100 -350 1 37 228
100 0 2 38 228
100 0 2 39 228
50 -50 3 40 228
100 0 2 41 228
100 0 2 42 228
100 0 2 43 228
100 0 2 44 228
100 0 2 45 228
100 0 2 46 228
100 0 2 47 228
100 0 2 48 228
100 0 2 49 228
100 0 2 50 228
100 0 2 51 228
100 -1250 2 52 228
100 0 2 53 228
100 0 2 54 228
100 0 2 55 228
100 0 2 56 228
100 0 2 57 228
50 0 3 58 228
100 0 2 59 228
100 0 2 60 228
50 0 3 61 228
50 -50 3 62 228
50 0 4 63 228
100 0 2 64 228
50 -50 3 65 228
50 -50 3 66 228
50 0 4 67 228
100 0 2 68 228
50 0 4 69 228
50 -50 3 70 228
100 -1250 2 71 228
100 0 2 72 228
100 0 2 73 228
100 0 2 74 228
100 0 2 75 228
100 0 2 76 228
100 0 2 77 228
100 -1250 2 78 228
100 0 2 79 228
100 0 2 80 228
50 -50 3 81 228
100 0 2 82 228
50 0 3 83 228
100 0 2 84 228
100 0 2 85 228
50 0 3 86 228
100 0 2 87 228
100 -1250 2 88 228
100 0 2 89 228
100 0 2 90 228
100 0 2 91 228
100 0 2 92 228
100 0 2 93 228
50 0 3 94 228
50 0 4 95 228
100 0 2 96 228
50 0 4 97 228
50 0 3 98 228
50 0 4 99 228
50 -50 3 100 228
100 -200 1 1 229
100 0 2 2 229
50 -50 3 3 229
50 0 4 4 229
100 0 2 5 229
100 -1250 2 6 229
100 -300 1 7 229
50 0 3 8 229
50 0 3 9 229
50 -50 3 10 229
50 0 4 11 229
50 0 4 12 229
50 0 4 13 229
50 0 4 14 229
50 0 4 15 229
50 0 4 16 229
50 0 4 17 229
50 0 4 18 229
50 -250 4 19 229
100 0 2 20 229
100 0 2 21 229
50 0 4 22 229
50 -250 4 23 229
100 0 2 24 229
100 0 2 25 229
100 0 2 26 229
100 0 2 27 229
100 0 2 28 229
100 0 2 29 229
100 0 2 30 229
100 0 2 31 229
100 0 2 32 229
100 0 2 33 229
100 0 2 34 229
100 -1250 2 35 229
100 -350 1 36 229
50 0 3 37 229
50 0 4 38 229
100 0 2 39 229
100 0 2 40 229
100 0 2 41 229
100 0 2 42 229
100 0 2 43 229
100 0 2 44 229
100 0 2 45 229
100 0 2 46 229
100 0 2 47 229
50 0 4 48 229
50 0 4 49 229
50 0 4 50 229
50 0 4 51 229
50 0 4 52 229
50 0 4 53 229
50 0 4 54 229
50 0 4 55 229
50 0 4 56 229
50 0 4 57 229
50 0 4 58 229
50 0 4 59 229
50 0 4 60 229
50 0 4 61 229
50 -250 4 62 229
100 0 2 63 229
100 0 2 64 229
100 -1250 2 65 229
100 0 2 66 229
100 0 2 67 229
100 -1250 2 68 229
100 0 2 69 229
100 0 2 70 229
100 0 2 71 229
100 0 2 72 229
100 0 2 73 229
50 0 4 74 229
50 0 4 75 229
50 0 4 76 229
50 0 4 77 229
50 0 4 78 229
50 0 4 79 229
50 -250 4 80 229
100 0 2 81 229
100 0 2 82 229
50 0 4 83 229
50 0 4 84 229
50 0 4 85 229
50 0 4 86 229
50 0 4 87 229
50 0 4 88 229
50 0 4 89 229
50 0 4 90 229
50 0 4 91 229
50 0 4 92 229
50 -250 4 93 229
100 0 2 94 229
100 0 2 95 229
50 0 4 96 229
50 0 4 97 229
50 0 4 98 229
50 0 4 99 229
50 0 4 100 229
100 -250 1 1 230
100 0 2 2 230
100 0 2 3 230
100 0 2 4 230
100 0 2 5 230
100 -1250 2 6 230
50 0 3 7 230
50 -50 3 8 230
50 -50 3 9 230
50 0 3 10 230
50 -50 3 11 230
50 0 4 12 230
50 0 4 13 230
50 0 4 14 230
50 -250 4 15 230
50 0 4 16 230
50 0 4 17 230
50 0 4 18 230
50 0 4 19 230
50 0 4 20 230
50 0 4 21 230
50 0 4 22 230
50 0 4 23 230
50 0 4 24 230
50 0 4 25 230
50 0 4 26 230
50 0 4 27 230
50 0 4 28 230
50 0 3 29 230
50 -50 3 30 230
50 0 3 31 230
50 0 3 32 230
50 -50 3 33 230
50 -250 4 34 230
50 -50 3 35 230
50 0 3 36 230
50 0 3 37 230
50 0 3 38 230
50 0 3 39 230
50 -50 3 40 230
50 0 3 41 230
50 -50 3 42 230
50 -50 3 43 230
50 -50 3 44 230
50 0 3 45 230
50 0 3 46 230
50 0 3 47 230
50 -50 3 48 230
50 -50 3 49 230
50 -50 3 50 230
50 0 3 51 230
50 0 3 52 230
50 -50 3 53 230
50 -50 3 54 230
50 0 4 55 230
50 0 4 56 230
50 0 4 57 230
50 -50 3 58 230
50 -50 3 59 230
50 0 3 60 230
50 -50 3 61 230
50 -50 3 62 230
50 0 3 63 230
50 0 3 64 230
50 0 3 65 230
50 -50 3 66 230
50 0 3 67 230
50 -50 3 68 230
50 -50 3 69 230
50 0 3 70 230
50 -50 3 71 230
50 0 3 72 230
50 0 3 73 230
50 -50 3 74 230
50 -50 3 75 230
50 0 3 76 230
50 0 3 77 230
50 -50 3 78 230
50 0 3 79 230
50 -50 3 80 230
50 0 3 81 230
50 -50 3 82 230
50 0 3 83 230
50 -50 3 84 230
50 -50 3 85 230
50 0 3 86 230
50 0 3 87 230
50 0 3 88 230
50 0 3 89 230
50 -50 3 90 230
50 0 3 91 230
50 0 3 92 230
50 -50 3 93 230
50 -50 3 94 230
50 -50 3 95 230
50 0 3 96 230
50 -50 3 97 230
50 0 3 98 230
50 0 3 99 230
50 0 3 100 230
100 -150 1 1 231
100 -350 1 2 231
100 0 1 3 231
100 -300 1 4 231
100 -250 1 5 231
100 0 2 6 231
100 0 2 7 231
100 0 2 8 231
100 0 2 9 231
100 0 2 10 231
50 -50 3 11 231
50 0 3 12 231
50 -50 3 13 231
50 -50 3 14 231
50 -50 3 15 231
50 0 4 16 231
50 0 4 17 231
50 0 4 18 231
50 0 4 19 231
50 0 4 20 231
100 0 2 21 231
100 -1250 2 22 231
100 0 2 23 231
100 0 2 24 231
100 0 2 25 231
50 0 4 26 231
50 0 4 27 231
50 0 4 28 231
50 0 4 29 231
50 -250 4 30 231
50 -250 4 31 231
50 0 4 32 231
50 0 4 33 231
50 0 4 34 231
50 0 4 35 231
50 0 4 36 231
50 0 4 37 231
50 0 4 38 231
50 0 4 39 231
50 0 4 40 231
100 0 2 41 231
100 0 2 42 231
50 0 4 43 231
50 0 4 44 231
50 0 4 45 231
50 0 4 46 231
50 0 4 47 231
50 0 4 48 231
50 0 4 49 231
50 -250 4 50 231
50 0 4 51 231
50 0 4 52 231
50 0 4 53 231
50 0 4 54 231
50 0 4 55 231
50 0 4 56 231
50 -250 4 57 231
100 0 2 58 231
100 0 2 59 231
50 0 4 60 231
50 0 4 61 231
50 0 4 62 231
100 0 2 63 231
50 0 4 64 231
50 0 4 65 231
50 0 4 66 231
50 0 4 67 231
100 0 2 68 231
50 0 4 69 231
50 0 4 70 231
50 0 4 71 231
50 0 4 72 231
50 0 4 73 231
100 0 2 74 231
50 0 4 75 231
50 0 4 76 231
50 -250 4 77 231
100 0 2 78 231
100 0 2 79 231
50 -250 4 80 231
50 0 4 81 231
50 0 4 82 231
50 0 4 83 231
50 0 4 84 231
50 0 4 85 231
50 0 4 86 231
50 0 4 87 231
50 0 4 88 231
50 0 4 89 231
50 0 4 90 231
100 -1250 2 91 231
100 -1250 2 92 231
50 0 4 93 231
50 0 4 94 231
50 0 4 95 231
50 0 4 96 231
50 0 4 97 231
50 0 4 98 231
50 0 4 99 231
50 -250 4 100 231
100 -250 1 1 232
100 0 1 2 232
100 -1250 2 3 232
50 -50 3 4 232
50 0 3 5 232
50 0 3 6 232
50 -50 3 7 232
50 0 4 8 232
50 0 4 9 232
50 0 4 10 232
50 0 4 11 232
50 0 4 12 232
100 -200 1 13 232
50 0 4 14 232
50 0 4 15 232
50 0 4 16 232
50 -250 4 17 232
50 -50 3 18 232
100 0 2 19 232
100 0 2 20 232
100 0 2 21 232
100 0 2 22 232
100 0 2 23 232
50 0 4 24 232
100 0 2 25 232
100 0 2 26 232
100 0 2 27 232
100 0 2 28 232
100 0 2 29 232
100 0 2 30 232
100 0 2 31 232
100 0 2 32 232
100 0 2 33 232
100 0 2 34 232
100 0 2 35 232
100 0 2 36 232
100 0 2 37 232
100 -1250 2 38 232
100 0 2 39 232
100 0 2 40 232
100 0 2 41 232
100 0 2 42 232
100 0 2 43 232
100 0 2 44 232
100 0 2 45 232
100 0 2 46 232
100 0 2 47 232
100 -1250 2 48 232
100 0 1 49 232
100 -300 1 50 232
50 0 3 51 232
100 -1250 2 52 232
100 0 1 53 232
100 -350 1 54 232
50 0 4 55 232
50 0 4 56 232
50 0 4 57 232
50 0 4 58 232
50 0 4 59 232
50 0 4 60 232
100 0 2 61 232
100 0 2 62 232
100 0 2 63 232
100 0 2 64 232
100 0 2 65 232
100 0 2 66 232
100 0 2 67 232
100 0 2 68 232
100 0 2 69 232
100 0 2 70 232
100 0 2 71 232
100 0 2 72 232
100 0 2 73 232
100 0 2 74 232
100 0 2 75 232
50 -250 4 76 232
100 0 2 77 232
100 0 2 78 232
100 0 2 79 232
100 -1250 2 80 232
100 0 2 81 232
100 0 2 82 232
100 0 2 83 232
100 0 2 84 232
100 0 2 85 232
100 0 2 86 232
100 0 2 87 232
100 0 2 88 232
100 0 2 89 232
100 -1250 2 90 232
100 0 2 91 232
100 0 2 92 232
100 -1250 2 93 232
100 0 2 94 232
100 0 2 95 232
100 0 2 96 232
100 0 2 97 232
100 0 2 98 232
100 0 2 99 232
100 0 2 100 232
100 -1250 2 1 233
100 0 2 2 233
50 0 3 3 233
50 0 3 4 233
100 0 1 5 233
100 0 1 6 233
50 0 4 7 233
50 0 4 8 233
50 0 4 9 233
100 0 2 10 233
100 0 2 11 233
50 0 3 12 233
50 -50 3 13 233
100 -250 1 14 233
100 0 1 15 233
50 0 4 16 233
50 0 4 17 233
100 -150 1 18 233
100 0 1 19 233
100 -350 1 20 233
100 0 2 21 233
100 0 2 22 233
100 0 2 23 233
100 0 2 24 233
50 -50 3 25 233
50 -50 3 26 233
50 -50 3 27 233
50 -50 3 28 233
100 -300 1 29 233
100 -200 1 30 233
100 0 1 31 233
100 -350 1 32 233
100 -150 1 33 233
100 0 1 34 233
100 -250 1 35 233
100 0 1 36 233
100 -300 1 37 233
100 0 1 38 233
100 0 1 39 233
100 0 1 40 233
100 0 2 41 233
100 0 2 42 233
100 0 2 43 233
100 0 2 44 233
100 0 2 45 233
100 0 2 46 233
100 0 2 47 233
100 0 2 48 233
100 -1250 2 49 233
100 0 2 50 233
100 0 2 51 233
50 0 3 52 233
50 0 3 53 233
50 0 3 54 233
50 -50 3 55 233
50 0 3 56 233
50 0 3 57 233
50 -50 3 58 233
50 0 4 59 233
50 -250 4 60 233
50 0 4 61 233
50 0 4 62 233
50 0 4 63 233
50 0 4 64 233
50 0 4 65 233
50 0 4 66 233
50 0 4 67 233
50 0 4 68 233
50 0 4 69 233
50 0 4 70 233
50 0 4 71 233
50 0 4 72 233
50 -250 4 73 233
50 0 4 74 233
50 0 4 75 233
50 0 4 76 233
50 0 4 77 233
50 0 4 78 233
50 0 4 79 233
50 0 4 80 233
50 0 4 81 233
50 0 4 82 233
50 -250 4 83 233
50 0 3 84 233
50 -50 3 85 233
50 -50 3 86 233
50 0 3 87 233
50 -50 3 88 233
50 0 3 89 233
50 -50 3 90 233
50 -50 3 91 233
50 -50 3 92 233
50 0 3 93 233
50 0 3 94 233
50 0 3 95 233
50 -50 3 96 233
50 -50 3 97 233
50 0 3 98 233
50 -50 3 99 233
50 0 3 100 233
100 0 2 1 234
50 0 3 2 234
100 0 2 3 234
50 0 3 4 234
100 0 2 5 234
100 -250 1 6 234
100 0 2 7 234
50 -250 4 8 234
100 -1250 2 9 234
50 0 3 10 234
50 0 3 11 234
50 -50 3 12 234
100 0 1 13 234
100 -150 1 14 234
100 0 2 15 234
100 0 2 16 234
100 0 2 17 234
50 0 4 18 234
100 0 2 19 234
100 0 2 20 234
100 0 2 21 234
100 0 2 22 234
100 0 2 23 234
100 0 2 24 234
100 -1250 2 25 234
50 -50 3 26 234
100 -200 1 27 234
50 0 4 28 234
50 0 4 29 234
50 0 4 30 234
50 0 4 31 234
50 0 4 32 234
100 0 2 33 234
100 0 2 34 234
100 0 2 35 234
100 0 2 36 234
100 0 2 37 234
50 0 4 38 234
50 0 4 39 234
50 0 4 40 234
50 0 4 41 234
50 0 4 42 234
50 -250 4 43 234
50 0 3 44 234
50 -50 3 45 234
100 0 2 46 234
100 0 2 47 234
100 0 2 48 234
100 0 2 49 234
100 0 1 50 234
100 0 1 51 234
100 0 1 52 234
100 0 1 53 234
100 -300 1 54 234
50 -50 3 55 234
100 0 2 56 234
100 0 2 57 234
100 -1250 2 58 234
50 0 4 59 234
50 0 4 60 234
50 0 4 61 234
50 0 4 62 234
50 0 4 63 234
50 0 4 64 234
50 0 4 65 234
50 0 4 66 234
50 0 4 67 234
50 0 4 68 234
50 0 4 69 234
50 0 4 70 234
50 0 4 71 234
50 0 4 72 234
50 -250 4 73 234
50 0 4 74 234
50 0 4 75 234
50 -250 4 76 234
50 -50 3 77 234
