,win,loss,total_pr_trial,accumulated_score,deck_select,no,session,sub_ID,data_type
0,50,0,50,50,3.0,1,1,136,fmri
1,100,-250,-150,-100,1.0,2,1,136,fmri
2,50,0,50,-50,4.0,3,1,136,fmri
3,100,-250,-150,-200,1.0,4,1,136,fmri
4,100,0,100,-100,2.0,5,1,136,fmri
5,50,-50,0,-100,3.0,6,1,136,fmri
6,50,0,50,-50,4.0,7,1,136,fmri
7,100,0,100,50,2.0,8,1,136,fmri
8,50,0,50,100,3.0,9,1,136,fmri
9,50,-250,-200,-100,4.0,10,1,136,fmri
10,100,0,100,0,2.0,11,1,136,fmri
11,100,0,100,100,2.0,12,1,136,fmri
12,50,0,50,150,4.0,13,1,136,fmri
13,50,0,50,200,4.0,14,1,136,fmri
14,50,0,50,250,4.0,15,1,136,fmri
15,100,0,100,350,2.0,16,1,136,fmri
16,50,0,50,400,4.0,17,1,136,fmri
17,50,-50,0,400,3.0,18,1,136,fmri
18,50,0,50,450,4.0,19,1,136,fmri
19,100,-1250,-1150,-700,2.0,20,1,136,fmri
20,50,0,50,-650,3.0,21,1,136,fmri
21,100,0,100,-550,2.0,22,1,136,fmri
22,50,0,50,-500,4.0,23,1,136,fmri
23,50,0,50,-450,4.0,24,1,136,fmri
24,100,0,100,-350,1.0,25,1,136,fmri
25,100,0,100,-250,2.0,26,1,136,fmri
26,50,0,50,-200,3.0,27,1,136,fmri
27,100,0,100,-100,1.0,28,1,136,fmri
28,50,0,50,-50,3.0,29,1,136,fmri
29,100,0,100,50,1.0,30,1,136,fmri
30,100,0,100,150,2.0,31,1,136,fmri
31,100,-250,-150,0,1.0,32,1,136,fmri
32,50,-250,-200,-200,4.0,33,1,136,fmri
33,100,0,100,-100,1.0,34,1,136,fmri
34,50,0,50,-50,4.0,35,1,136,fmri
35,100,0,100,50,1.0,36,1,136,fmri
36,50,-50,0,50,3.0,37,1,136,fmri
37,50,0,50,100,4.0,38,1,136,fmri
38,100,0,100,200,2.0,39,1,136,fmri
39,100,0,100,300,2.0,40,1,136,fmri
40,50,0,50,50,3.0,1,2,136,fmri
41,100,-250,-150,-100,1.0,2,2,136,fmri
42,100,0,100,0,2.0,3,2,136,fmri
43,50,0,50,50,4.0,4,2,136,fmri
44,100,0,100,150,2.0,5,2,136,fmri
45,50,0,50,200,4.0,6,2,136,fmri
46,50,0,50,250,4.0,7,2,136,fmri
47,100,-1250,-1150,-900,2.0,8,2,136,fmri
48,50,-50,0,-900,3.0,9,2,136,fmri
49,100,0,100,-800,1.0,10,2,136,fmri
50,50,0,50,-750,4.0,11,2,136,fmri
51,50,0,50,-700,4.0,12,2,136,fmri
52,100,0,100,-600,2.0,13,2,136,fmri
53,50,-50,0,-600,3.0,14,2,136,fmri
54,100,0,100,-500,1.0,15,2,136,fmri
55,100,0,100,-400,2.0,16,2,136,fmri
56,100,0,100,-300,1.0,17,2,136,fmri
57,50,0,50,-250,4.0,18,2,136,fmri
58,50,0,50,-200,3.0,19,2,136,fmri
59,100,0,100,-100,2.0,20,2,136,fmri
60,50,0,50,-50,4.0,21,2,136,fmri
61,50,0,50,0,4.0,22,2,136,fmri
62,100,0,100,100,2.0,23,2,136,fmri
63,100,-250,-150,-50,1.0,24,2,136,fmri
64,50,0,50,0,4.0,25,2,136,fmri
65,100,0,100,100,2.0,26,2,136,fmri
66,50,0,50,150,3.0,27,2,136,fmri
67,100,0,100,250,1.0,28,2,136,fmri
68,50,-50,0,250,3.0,29,2,136,fmri
69,100,-250,-150,100,1.0,30,2,136,fmri
70,50,-250,-200,-100,4.0,31,2,136,fmri
71,50,0,50,-50,3.0,32,2,136,fmri
72,100,0,100,50,2.0,33,2,136,fmri
73,50,0,50,100,4.0,34,2,136,fmri
74,100,-250,-150,-50,1.0,35,2,136,fmri
75,50,-50,0,-50,3.0,36,2,136,fmri
76,100,0,100,50,2.0,37,2,136,fmri
77,50,0,50,100,3.0,38,2,136,fmri
78,100,0,100,200,2.0,39,2,136,fmri
79,100,-250,-150,50,1.0,40,2,136,fmri
80,100,-1250,-1150,-1150,2.0,1,3,136,fmri
81,100,0,100,-1050,1.0,2,3,136,fmri
82,50,0,50,-1000,4.0,3,3,136,fmri
83,50,-50,0,-1000,3.0,4,3,136,fmri
84,100,0,100,-900,2.0,5,3,136,fmri
85,50,0,50,-850,3.0,6,3,136,fmri
86,100,0,100,-750,2.0,7,3,136,fmri
87,50,-50,0,-750,3.0,8,3,136,fmri
88,50,-50,0,-750,3.0,9,3,136,fmri
89,50,0,50,-700,4.0,10,3,136,fmri
90,100,-250,-150,-850,1.0,11,3,136,fmri
91,100,0,100,-750,2.0,12,3,136,fmri
92,50,-50,0,-750,3.0,13,3,136,fmri
93,50,0,50,-700,4.0,14,3,136,fmri
94,50,-50,0,-700,3.0,15,3,136,fmri
95,100,0,100,-600,1.0,16,3,136,fmri
96,100,-250,-150,-750,1.0,17,3,136,fmri
97,50,0,50,-700,3.0,18,3,136,fmri
98,50,0,50,-650,4.0,19,3,136,fmri
99,50,0,50,-600,4.0,20,3,136,fmri
100,50,0,50,-550,3.0,21,3,136,fmri
101,50,0,50,-500,4.0,22,3,136,fmri
