,win,loss,total_pr_trial,accumulated_score,deck_select,no,session,sub_ID,data_type,Study,Group
0,100,-250,-150,-150,1,1,1,143,MEG,own,1
1,50,0,50,-100,3,2,1,143,MEG,own,1
2,50,0,50,-50,4,3,1,143,MEG,own,1
3,100,0,100,50,2,4,1,143,MEG,own,1
4,50,0,50,100,4,5,1,143,MEG,own,1
5,50,-50,0,100,3,6,1,143,MEG,own,1
6,100,0,100,200,2,7,1,143,MEG,own,1
7,50,0,50,250,3,8,1,143,MEG,own,1
8,50,-250,-200,50,4,9,1,143,MEG,own,1
9,100,-250,-150,-100,1,10,1,143,MEG,own,1
10,100,0,100,0,2,11,1,143,MEG,own,1
11,50,-50,0,0,3,12,1,143,MEG,own,1
12,100,0,100,100,2,13,1,143,MEG,own,1
13,50,-50,0,100,3,14,1,143,MEG,own,1
14,100,0,100,200,2,15,1,143,MEG,own,1
15,50,0,50,250,3,16,1,143,MEG,own,1
16,100,0,100,350,2,17,1,143,MEG,own,1
17,50,0,50,400,3,18,1,143,MEG,own,1
18,100,-1250,-1150,-750,2,19,1,143,MEG,own,1
19,50,0,50,-700,3,20,1,143,MEG,own,1
20,50,0,50,-650,4,21,1,143,MEG,own,1
21,100,0,100,-550,1,22,1,143,MEG,own,1
22,100,0,100,-450,1,23,1,143,MEG,own,1
23,50,0,50,-400,4,24,1,143,MEG,own,1
24,100,0,100,-300,1,25,1,143,MEG,own,1
25,50,0,50,-250,4,26,1,143,MEG,own,1
26,50,0,50,-200,4,27,1,143,MEG,own,1
27,100,-250,-150,-350,1,28,1,143,MEG,own,1
28,50,0,50,-300,4,29,1,143,MEG,own,1
29,50,0,50,-250,4,30,1,143,MEG,own,1
30,50,0,50,-200,4,31,1,143,MEG,own,1
31,50,-250,-200,-400,4,32,1,143,MEG,own,1
32,100,0,100,-300,2,33,1,143,MEG,own,1
33,50,-50,0,-300,3,34,1,143,MEG,own,1
34,50,0,50,-250,4,35,1,143,MEG,own,1
35,100,0,100,-150,2,36,1,143,MEG,own,1
36,50,0,50,-100,3,37,1,143,MEG,own,1
37,50,0,50,-50,4,38,1,143,MEG,own,1
38,50,-50,0,-50,3,39,1,143,MEG,own,1
39,50,0,50,0,4,40,1,143,MEG,own,1
40,100,0,100,100,1,1,2,143,MEG,own,1
41,100,0,100,200,1,2,2,143,MEG,own,1
42,100,-250,-150,50,1,3,2,143,MEG,own,1
43,100,0,100,150,2,4,2,143,MEG,own,1
44,100,0,100,250,2,5,2,143,MEG,own,1
45,100,0,100,350,2,6,2,143,MEG,own,1
46,100,0,100,450,2,7,2,143,MEG,own,1
47,100,0,100,550,2,8,2,143,MEG,own,1
48,100,-1250,-1150,-600,2,9,2,143,MEG,own,1
49,50,-50,0,-600,3,10,2,143,MEG,own,1
50,50,0,50,-550,3,11,2,143,MEG,own,1
51,50,0,50,-500,3,12,2,143,MEG,own,1
52,50,-50,0,-500,3,13,2,143,MEG,own,1
53,50,0,50,-450,3,14,2,143,MEG,own,1
54,50,0,50,-400,4,15,2,143,MEG,own,1
55,100,0,100,-300,1,16,2,143,MEG,own,1
56,50,0,50,-250,4,17,2,143,MEG,own,1
57,50,0,50,-200,4,18,2,143,MEG,own,1
58,50,0,50,-150,4,19,2,143,MEG,own,1
59,50,0,50,-100,4,20,2,143,MEG,own,1
60,50,0,50,-50,4,21,2,143,MEG,own,1
61,50,0,50,0,4,22,2,143,MEG,own,1
62,50,0,50,50,4,23,2,143,MEG,own,1
63,50,-250,-200,-150,4,24,2,143,MEG,own,1
64,50,-50,0,-150,3,25,2,143,MEG,own,1
65,50,0,50,-100,3,26,2,143,MEG,own,1
66,50,-50,0,-100,3,27,2,143,MEG,own,1
67,50,0,50,-50,3,28,2,143,MEG,own,1
68,50,-50,0,-50,3,29,2,143,MEG,own,1
69,50,-50,0,-50,3,30,2,143,MEG,own,1
70,50,0,50,0,4,31,2,143,MEG,own,1
71,100,0,100,100,1,32,2,143,MEG,own,1
72,50,-50,0,100,3,33,2,143,MEG,own,1
73,50,-50,0,100,3,34,2,143,MEG,own,1
74,50,0,50,150,4,35,2,143,MEG,own,1
75,100,0,100,250,1,36,2,143,MEG,own,1
76,50,0,50,300,4,37,2,143,MEG,own,1
77,50,0,50,350,4,38,2,143,MEG,own,1
