win,frames_before_decks,dur_measured_decks,onset_win,deck_select,init_mark,t_moves,t_select,ID,onset_decks,dur_decks,loss,exp_type,total,session,frames_after_decks,no,condition,offset_decks,rt_select,offset_win,dur_win,n_moves
50,72,,2.789676500000496,4,1,"[1.6478698999999324, 1.9312866000000213]",2.3898126000003685,,0.9999989999996615,600,0,"['fMRI', 'EEG', 'MEG']",50,4,48,1,iowa_exp,,1.389813600000707,,240,2
50,72,,7.333088899998984,4,0,"[5.841964699999153, 6.099522799999249, 6.5422997000005125]",6.933239300000423,,5.4337230000001,600,-250,"['fMRI', 'EEG', 'MEG']",-150,4,48,2,iowa_exp,,1.499516300000323,,240,3
50,72,,11.07624880000003,3,1,[10.376204000000143],10.676269999999931,,10.06876199999897,600,0,"['fMRI', 'EEG', 'MEG']",-100,4,48,3,iowa_exp,,0.6075080000009621,,240,1
100,72,,15.336257999999361,2,3,"[14.361103499999444, 14.652902199999517]",14.928747199999634,,13.728574000000663,600,0,"['fMRI', 'EEG', 'MEG']",0,4,48,4,iowa_exp,,1.2001731999989715,,240,2
100,72,,19.012686099998973,1,0,[],18.612794999999096,,17.980222199999844,600,0,"['fMRI', 'EEG', 'MEG']",100,4,48,5,iowa_exp,,0.6325727999992523,,240,0
100,72,,22.630763900000602,2,0,[21.989036700000725],22.23079619999953,,21.648323400000663,600,-1250,"['fMRI', 'EEG', 'MEG']",-1050,4,48,6,iowa_exp,,0.5824727999988681,,240,1
100,72,,27.499292200000127,1,3,[26.582532299999002],27.09191909999936,,26.083356099999946,600,-250,"['fMRI', 'EEG', 'MEG']",-1200,4,48,7,iowa_exp,,1.0085629999994126,,240,1
100,72,,32.167786399999386,2,3,"[31.151007799999206, 31.468783000000258]",31.76789370000006,,30.426735499999268,600,0,"['fMRI', 'EEG', 'MEG']",-1100,4,48,8,iowa_exp,,1.3411582000007911,,240,2
100,72,,36.33611209999981,2,3,"[35.36930720000055, 35.694421899999725]",35.93615030000001,,35.02023310000004,600,0,"['fMRI', 'EEG', 'MEG']",-1000,4,48,9,iowa_exp,,0.9159171999999671,,240,2
50,72,,40.22930330000054,4,2,[39.504447600000276],39.82957329999954,,39.13849400000072,600,0,"['fMRI', 'EEG', 'MEG']",-950,4,48,10,iowa_exp,,0.6910792999988189,,240,1
50,72,,43.997445200000584,4,2,[43.32243670000025],43.59757460000037,,42.906589899999744,600,0,"['fMRI', 'EEG', 'MEG']",-900,4,48,11,iowa_exp,,0.6909847000006266,,240,1
50,72,,48.64091729999927,4,0,"[47.38234999999986, 47.63255629999912, 47.917119300000195]",48.240992999999435,,46.67489109999951,600,0,"['fMRI', 'EEG', 'MEG']",-850,4,48,12,iowa_exp,,1.5661018999999214,,240,3
100,72,,52.50077269999929,2,1,[],52.1008127999994,,51.29322580000007,600,0,"['fMRI', 'EEG', 'MEG']",-750,4,48,13,iowa_exp,,0.8075869999993301,,240,0
50,72,,56.393932900000436,4,3,[],55.99400140000034,,55.23653820000072,600,0,"['fMRI', 'EEG', 'MEG']",-700,4,48,14,iowa_exp,,0.75746319999962,,240,0
50,72,,60.12873159999981,4,2,[59.47869549999996],59.72878409999976,,59.03793459999906,600,0,"['fMRI', 'EEG', 'MEG']",-650,4,48,15,iowa_exp,,0.6908495000006951,,240,1
50,72,,63.705106199999136,4,3,[],63.30521469999985,,62.7893882999997,600,0,"['fMRI', 'EEG', 'MEG']",-600,4,48,16,iowa_exp,,0.5158264000001509,,240,0
50,72,,67.89842680000038,4,0,"[66.74036759999944, 66.98994270000003, 67.20670599999903]",67.49102719999973,,66.32406739999897,600,0,"['fMRI', 'EEG', 'MEG']",-550,4,48,17,iowa_exp,,1.1669598000007682,,240,3
