no,offset_win,total,dur_decks,session,win,onset_decks,deck_select,dur_win,t_moves,frames_before_decks,exp_type,condition,n_moves,rt_select,frames_after_decks,dur_measured_decks,loss,init_mark,ID,t_select,offset_decks,onset_win
1,,100,600,3,100,0.999333600000682,2,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,1.0741244999990158,72,,0,1,,2.073458099999698,,2.680674800001725
2,,200,600,3,100,5.241256600002089,1,240,[6.9409005000015895],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,1.9330702999977802,72,,0,3,,7.174326899999869,,7.774298799999087
3,,250,600,3,50,10.25160440000036,4,240,"[10.842431199998828, 11.05922030000147]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.1243524999990768,72,,0,1,,11.375956899999437,,11.975936999999249
4,,350,600,3,100,14.48653689999992,2,240,[14.85231019999992],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.6163512000021001,72,,0,0,,15.10288810000202,,15.702404999999999
5,,400,600,3,50,18.129712300000392,4,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,1.4921437000011792,72,,0,3,,19.62185600000157,,20.22912030000225
6,,500,600,3,100,22.68982010000036,2,240,"[23.380668000001606, 23.56404090000069, 23.797421700000996]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.3661553999991156,72,,0,2,,24.055975499999477,,24.655896100000973
7,,300,600,3,50,27.091417600000568,4,240,[28.08244470000136],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,1.241138500001398,72,,-250,2,,28.332556100001966,,28.932566499999666
8,,400,600,3,100,31.409810400000424,2,240,"[32.017319900001894, 32.2173870000006, 32.47589449999941]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.282810900000186,72,,0,2,,32.69262130000061,,33.292598299998645
9,,400,600,3,50,35.76166430000012,3,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,2.2079998000008345,72,,-50,2,,37.969664100000955,,38.56966040000043
10,,500,600,3,100,41.046956500002125,2,240,"[41.463522699999885, 41.74613769999996, 41.94699330000003, 42.44635840000046]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,4,1.6829015999974217,72,,0,1,,42.72985809999955,,43.32986109999911
11,,550,600,3,50,45.798937899999146,4,240,"[46.13950950000071, 46.347940600000584]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,0.749917799999821,72,,0,1,,46.54885569999897,,47.156353400001535
12,,-600,600,3,100,49.60021090000009,2,240,"[49.95761119999952, 50.1744491999998, 50.36612520000199, 50.75799879999977, 51.150117500001215]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,5,1.866461800000252,72,,-1250,0,,51.466672700000345,,52.06660489999922
13,,-750,600,3,100,54.8355859000003,1,240,"[55.118036399999255, 55.32648540000082, 55.5523933000004, 55.74328420000165]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,4,1.207817900001828,72,,-250,0,,56.043403800002125,,56.64333560000159
14,,-700,600,3,50,59.21229239999957,4,240,"[59.48716830000194, 59.73699409999972]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,0.9414544999999634,72,,0,1,,60.15374689999953,,60.75329070000225
15,,-600,600,3,100,63.23894370000198,2,240,"[63.60484350000115, 63.85538010000164]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,0.8409288000002562,72,,0,3,,64.07987250000224,,64.67984240000078
16,,-550,600,3,50,67.15707509999993,3,240,"[67.59797489999983, 68.1230570000007, 68.89007810000112, 69.38193429999956, 70.05735730000015, 70.57406320000155, 70.79998640000122]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,7,3.867112600000837,72,,0,3,,71.02418770000077,,71.62425259999873
17,,-450,600,3,100,74.10142429999905,2,240,"[74.96739330000128, 75.82603690000178]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.9165943000007246,72,,0,3,,76.01801859999978,,76.61781139999948
18,,-400,600,3,50,79.07006080000065,4,240,[79.77761050000117],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.9993790000007721,72,,0,2,,80.06943980000142,,80.66937930000131
19,,-300,600,3,100,83.18004930000097,2,240,[83.65408350000143],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,1.1078592999983812,72,,0,0,,84.28790859999935,,84.88769429999957
20,,-450,600,3,100,87.33163419999983,1,240,"[88.43958270000076, 89.40635409999959]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,2.51652280000053,72,,-250,2,,89.84815700000036,,90.44820660000187
21,,-400,600,3,50,92.95051020000028,4,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,0.774359099999856,72,,0,3,,93.72486930000014,,94.32471010000154
22,,-300,600,3,100,96.76866390000214,2,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,0.5824532999977237,72,,0,1,,97.35111719999986,,97.9511401000018
23,,-300,600,3,50,100.42001399999936,3,240,"[101.97883210000145, 102.25306270000146]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,2.0997989000024972,72,,-50,0,,102.51981290000185,,103.11979710000014
24,,-200,600,3,100,105.64711330000137,2,240,[106.12128030000167],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.740877599997475,72,,0,0,,106.38799089999884,,106.9879652999989
25,,-150,600,3,50,109.44860379999955,4,240,[109.75601050000114],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.9929157000005944,72,,0,2,,110.44151950000014,,111.04792340000131
26,,-1300,600,3,100,113.51687959999981,2,240,[114.08260869999867],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.7917197999995551,72,,-1250,0,,114.30859939999937,,114.90774380000221
27,,-1250,600,3,50,118.06039500000043,4,240,[118.89304690000063],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,1.0918266000007861,72,,0,2,,119.15222160000121,,119.75963849999971
28,,-1150,600,3,100,122.32021670000177,2,240,[122.80287450000105],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.6992060999982641,72,,0,0,,123.01942280000003,,123.619473499999
29,,-1300,600,3,100,126.22174540000196,1,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,1.999801199999638,72,,-250,0,,128.2215466000016,,128.8215123000009
30,,-1200,600,3,100,131.64888200000132,2,240,"[132.18970510000145, 132.47406590000173]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.0076626000009128,72,,0,3,,132.65654460000223,,133.25655639999968
31,,-1150,600,3,50,135.84222750000117,4,240,"[136.14341609999974, 136.35801410000204, 136.54289960000096]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,0.9336077000007208,72,,0,0,,136.7758352000019,,137.38319989999945
32,,-1050,600,3,100,140.002152699999,2,240,"[142.52796250000029, 142.77732870000182]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,3.017869999999675,72,,0,3,,143.02002269999866,,143.62729000000036
33,,-1000,600,3,50,146.21289510000133,4,240,[147.15384170000107],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,1.1911674000002677,72,,0,2,,147.4040625000016,,148.0039710000019
34,,-900,600,3,100,150.57296359999964,2,240,"[150.95539080000162, 151.255538100002]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,0.9075680000023567,72,,0,3,,151.480531600002,,152.08059700000013
35,,-850,600,3,50,154.52446039999995,3,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,0.6158562000018719,72,,0,2,,155.14031660000182,,155.74035970000114
36,,-800,600,3,50,158.16754629999923,4,240,[158.52538750000167],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.6575985000017681,72,,0,2,,158.825144800001,,159.42508699999962
37,,-700,600,3,100,161.87737969999944,2,240,[162.20978390000164],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.5587701000004017,72,,0,0,,162.43614979999984,,163.0348488999989
38,,-900,600,3,50,165.50384290000147,4,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,0.6327440999993996,72,,-250,3,,166.13658700000087,,166.73631530000057
39,,-800,600,3,100,169.23033090000172,2,240,[169.55433999999877],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.6158189999987371,72,,0,0,,169.84614990000046,,170.4460962000012
40,,-800,600,3,50,172.93175300000075,3,240,[173.78182240000024],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,1.707808200000727,72,,-50,1,,174.63956120000148,,175.23961070000223
