deck_select,dur_measured_decks,loss,rt_select,condition,total,frames_before_decks,onset_win,win,session,init_mark,offset_win,dur_decks,n_moves,t_moves,exp_type,dur_win,offset_decks,no,frames_after_decks,onset_decks,ID,t_select
4,,0,2.415877899999032,iowa_exp,50,72,3.8229017999983625,50,2,0,,600,3,"[2.1390629000015906, 2.991203500001575, 3.214546600000176]","['fMRI', 'EEG', 'MEG']",240,,1,48,0.9995918999993592,,3.415469799998391
2,,0,0.5080344999987574,iowa_exp,150,72,7.349277799999982,100,2,1,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,2,48,6.441852899999503,,6.949887399998261
4,,0,1.7329883000020345,iowa_exp,200,72,12.134506099999271,50,2,0,,600,3,"[10.867579199999454, 11.175988099999813, 11.476553699998476]","['fMRI', 'EEG', 'MEG']",240,,3,48,10.001597999998921,,11.734586300000956
2,,-1250,0.865992399998504,iowa_exp,-950,72,16.010985900000378,100,2,3,,600,2,"[15.16938139999911, 15.378459799998382]","['fMRI', 'EEG', 'MEG']",240,,4,48,14.745100500000262,,15.611092899998766
4,,0,0.8335069999993721,iowa_exp,-900,72,20.120881599999848,50,2,0,,600,3,"[19.1216960999991, 19.34673710000061, 19.521791300001496]","['fMRI', 'EEG', 'MEG']",240,,5,48,18.88005229999908,,19.71355929999845
2,,0,1.9664446999995562,iowa_exp,-800,72,25.106308700000227,100,2,3,,600,2,"[23.880990900001052, 24.498103900001297]","['fMRI', 'EEG', 'MEG']",240,,6,48,22.73985840000023,,24.706303099999786
2,,0,1.2660885000004782,iowa_exp,-700,72,29.43286950000038,100,2,2,,600,3,"[28.090962300000683, 28.358217400000285, 28.782884500000364]","['fMRI', 'EEG', 'MEG']",240,,7,48,27.76688490000015,,29.03297340000063
4,,0,1.491194700000051,iowa_exp,-650,72,33.951314800000546,50,2,0,,600,3,"[32.45101159999831, 32.66774910000095, 32.88440769999943]","['fMRI', 'EEG', 'MEG']",240,,8,48,32.060240599999815,,33.551435299999866
3,,0,0.7657104000027175,iowa_exp,-600,72,37.736124399998516,50,2,0,,600,2,"[36.88687520000167, 37.11109360000046]","['fMRI', 'EEG', 'MEG']",240,,9,48,36.570499599998584,,37.3362100000013
2,,0,1.109266800001933,iowa_exp,-500,72,41.91274060000069,100,2,0,,600,1,[40.77938680000079],"['fMRI', 'EEG', 'MEG']",240,,10,48,40.40514389999953,,41.51441070000146
4,,-250,1.0582670999974653,iowa_exp,-700,72,45.989321900000505,50,2,0,,600,3,"[44.889298499998404, 45.16429000000062, 45.381038600000466]","['fMRI', 'EEG', 'MEG']",240,,11,48,44.53171890000158,,45.589985999999044
2,,0,0.7491952999989735,iowa_exp,-600,72,49.83249490000162,100,2,3,,600,2,"[49.01579750000019, 49.2409101000012]","['fMRI', 'EEG', 'MEG']",240,,12,48,48.68341720000171,,49.43261250000069
3,,-50,0.6908389999989595,iowa_exp,-600,72,53.53392510000049,50,2,1,,600,1,[52.8851442999985],"['fMRI', 'EEG', 'MEG']",240,,13,48,52.44317450000017,,53.13401349999913
2,,0,0.5583753999999317,iowa_exp,-500,72,57.127027700000326,100,2,1,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,14,48,56.16126340000119,,56.71963880000112
4,,0,1.0492975000015576,iowa_exp,-450,72,61.25359219999882,50,2,0,,600,3,"[60.11177890000181, 60.35400060000029, 60.580007299999124]","['fMRI', 'EEG', 'MEG']",240,,15,48,59.80438199999844,,60.8536795
2,,0,0.7242893000002368,iowa_exp,-350,72,65.0051026000001,100,2,1,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,16,48,63.88086050000129,,64.60514980000153
4,,0,1.3494538999984798,iowa_exp,-300,72,69.39846450000186,50,2,1,,600,2,"[68.16491160000078, 68.74907670000175]","['fMRI', 'EEG', 'MEG']",240,,17,48,67.64900510000007,,68.99845899999855
2,,0,0.8337931999994908,iowa_exp,-200,72,73.26664639999944,100,2,3,,600,2,"[72.36652780000077, 72.59998460000133]","['fMRI', 'EEG', 'MEG']",240,,18,48,72.02579229999901,,72.8595854999985
3,,0,1.3160917000022891,iowa_exp,-150,72,77.6183263999992,50,2,1,,600,1,[76.2347606000003],"['fMRI', 'EEG', 'MEG']",240,,19,48,75.90231439999843,,77.21840610000072
4,,0,1.0910073999984888,iowa_exp,-100,72,81.75327010000183,50,2,0,,600,3,"[80.63644729999942, 80.91151529999843, 81.13686049999887]","['fMRI', 'EEG', 'MEG']",240,,20,48,80.26242360000106,,81.35343099999955
2,,0,0.9664248000008229,iowa_exp,0,72,85.77151049999884,100,2,3,,600,2,"[84.9214608000002, 85.17211759999918]","['fMRI', 'EEG', 'MEG']",240,,21,48,84.40569340000002,,85.37211820000084
4,,0,0.7912867999984883,iowa_exp,50,72,89.64805550000165,50,2,1,,600,2,"[88.7397009999986, 89.02301200000147]","['fMRI', 'EEG', 'MEG']",240,,22,48,88.45721290000074,,89.24849969999923
4,,0,0.5407914999996137,iowa_exp,100,72,93.2077806999987,50,2,3,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,23,48,92.26702039999873,,92.80781189999834
3,,-50,1.2745598000001337,iowa_exp,100,72,97.54279170000154,50,2,3,,600,3,"[96.45928790000107, 96.7435512000011, 96.95984659999885]","['fMRI', 'EEG', 'MEG']",240,,24,48,95.86834589999853,,97.14290569999866
4,,0,0.9244460000008985,iowa_exp,150,72,101.55266549999942,50,2,2,,600,1,[100.83595160000186],"['fMRI', 'EEG', 'MEG']",240,,25,48,100.2284421000004,,101.15288810000129
