frames_before_decks,init_mark,dur_win,deck_select,rt_select,frames_after_decks,n_moves,no,ID,win,dur_decks,onset_decks,offset_win,offset_decks,dur_measured_decks,loss,exp_type,t_moves,t_select,total,session,condition,onset_win
72,0,240,4,1.9157924000028288,48,3,1,,50,600,1.001904899996589,,,,0,"['fMRI', 'EEG', 'MEG']","[1.4668897000083234, 2.183861600002274, 2.567664000001969]",2.9176972999994177,50,1,iowa_exp,3.317445399996359
72,2,240,3,0.8075222999905236,48,0,2,,50,600,5.944871900006547,,,,0,"['fMRI', 'EEG', 'MEG']",[],6.75239419999707,100,1,iowa_exp,7.152264899996226
72,0,240,4,1.3089238999964437,48,3,3,,50,600,9.787934200008749,,,,0,"['fMRI', 'EEG', 'MEG']","[10.245393500008504, 10.570572299999185, 10.837295500008622]",11.096858100005193,150,1,iowa_exp,11.503943600007915
72,0,240,3,1.3827231000032043,48,2,4,,50,600,14.10632710000209,,,,-50,"['fMRI', 'EEG', 'MEG']","[14.3553130000073, 15.188970200004405]",15.489050200005295,150,1,iowa_exp,15.888997400004882
72,3,240,3,0.8325923999946099,48,3,5,,50,600,18.52468630000658,,,,0,"['fMRI', 'EEG', 'MEG']","[18.081858000005013, 18.80703710000671, 19.0488200999971]",19.35727870000119,200,1,iowa_exp,19.7571803000028
72,2,240,4,0.608476100009284,48,1,6,,50,600,22.367858099998557,,,,-250,"['fMRI', 'EEG', 'MEG']",[22.600447899996652],22.97633420000784,0,1,iowa_exp,23.375257599996985
72,3,240,3,1.1244335999945179,48,3,7,,50,600,25.994210000004387,,,,-50,"['fMRI', 'EEG', 'MEG']","[25.676567300004535, 26.526565000007395, 26.810210800002096]",27.118643599998904,0,1,iowa_exp,27.518554000009317
72,0,240,2,0.7830279999907361,48,1,8,,100,600,30.17086850000487,,,,0,"['fMRI', 'EEG', 'MEG']",[30.06169580000278],30.953896499995608,100,1,iowa_exp,31.353338100001565
72,0,240,2,0.7240850999951363,48,1,9,,100,600,33.99753760000749,,,,0,"['fMRI', 'EEG', 'MEG']",[34.396949500005576],34.72162270000263,200,1,iowa_exp,35.121480200003134
72,1,240,2,0.5407336999924155,48,0,10,,100,600,37.7405543000059,,,,0,"['fMRI', 'EEG', 'MEG']",[],38.28128799999831,300,1,iowa_exp,38.68120720000297
72,1,240,2,0.4240480000007665,48,0,11,,100,600,41.291891400003806,,,,0,"['fMRI', 'EEG', 'MEG']",[],41.71593940000457,400,1,iowa_exp,42.11587400001008
72,0,240,1,0.5325228000001516,48,0,12,,100,600,44.71817239999655,,,,-250,"['fMRI', 'EEG', 'MEG']",[],45.2506951999967,250,1,iowa_exp,45.6506292999984
72,3,240,1,0.7827342999953544,48,1,13,,100,600,48.30303140000615,,,,-250,"['fMRI', 'EEG', 'MEG']",[48.71878540000762],49.0857657000015,100,1,iowa_exp,49.48542080000334
72,0,240,3,0.6492035999981454,48,2,14,,50,600,52.154388399998425,,,,-50,"['fMRI', 'EEG', 'MEG']","[50.97644379999838, 52.37969110000995]",52.80359199999657,100,1,iowa_exp,53.20354889999726
72,2,240,4,0.9082776999857742,48,1,15,,50,600,55.822540200009826,,,,0,"['fMRI', 'EEG', 'MEG']",[56.25501590000931],56.7308178999956,150,1,iowa_exp,57.13006989999849
72,2,240,4,1.3998986999940826,48,1,16,,50,600,59.765798100008396,,,,0,"['fMRI', 'EEG', 'MEG']",[60.76512300000468],61.16569680000248,200,1,iowa_exp,61.56512890000886
72,0,240,3,1.207826900004875,48,2,17,,50,600,64.1924435999972,,,,0,"['fMRI', 'EEG', 'MEG']","[64.88333110000531, 65.10837470000843]",65.40027050000208,250,1,iowa_exp,65.8001079000096
72,1,240,4,0.8243421999941347,48,2,18,,50,600,68.45243380000466,,,,0,"['fMRI', 'EEG', 'MEG']","[68.7682203000004, 69.02664470000309]",69.27677599999879,300,1,iowa_exp,69.67663450000691
72,2,240,4,0.7242404999997234,48,1,19,,50,600,72.28740220000327,,,,0,"['fMRI', 'EEG', 'MEG']",[72.20300700000371],73.011642700003,350,1,iowa_exp,73.41142040000705
72,2,240,4,0.5824261000088882,48,1,20,,50,600,76.03051609999966,,,,0,"['fMRI', 'EEG', 'MEG']",[76.37109240000427],76.61294220000855,400,1,iowa_exp,77.01282590000483
72,0,240,4,1.191048900000169,48,3,21,,50,600,79.64845740000601,,,,0,"['fMRI', 'EEG', 'MEG']","[80.15605240000878, 80.38188939999964, 80.61492380000709]",80.83950630000618,450,1,iowa_exp,81.23951159999706
72,3,240,3,1.3745214000082342,48,3,22,,50,600,83.86683400000038,,,,0,"['fMRI', 'EEG', 'MEG']","[84.51596410000639, 84.75780449999729, 84.99956029999885]",85.24135540000862,500,1,iowa_exp,85.641206100001
72,3,240,3,1.1994163999916054,48,3,23,,50,600,88.2851551000058,,,,0,"['fMRI', 'EEG', 'MEG']","[88.56793839999591, 88.9594761000044, 89.21785400000226]",89.4845714999974,550,1,iowa_exp,89.88452110000071
72,0,240,4,1.416177000006428,48,3,24,,50,600,92.52846950000094,,,,0,"['fMRI', 'EEG', 'MEG']","[92.76923620000889, 93.36113180000393, 93.63619130000006]",93.94464650000737,600,1,iowa_exp,94.34460009999748
72,3,240,3,1.2161157000082312,48,3,25,,50,600,96.98857580000185,,,,-50,"['fMRI', 'EEG', 'MEG']","[97.42114390000643, 97.70448949999991, 97.93791910000436]",98.20469150001009,600,1,iowa_exp,98.60461330000544
72,1,240,4,0.7826373999996576,48,2,26,,50,600,101.23201030000928,,,,-250,"['fMRI', 'EEG', 'MEG']","[101.44762960000662, 101.72263109999767]",102.01464770000894,400,1,iowa_exp,102.41437630000291
72,0,240,4,1.0332484999962617,48,3,27,,50,600,105.01681990000361,,,,0,"['fMRI', 'EEG', 'MEG']","[105.26571210000839, 105.55748869999661, 105.79933300000266]",106.05006839999987,450,1,iowa_exp,106.44931170000928
72,0,240,4,1.1334461999940686,48,3,28,,50,600,109.10164360000635,,,,0,"['fMRI', 'EEG', 'MEG']","[109.40896939999948, 109.71053130000655, 109.97599669999909]",110.23508980000042,500,1,iowa_exp,110.63428300000669
72,1,240,3,0.6325274999981048,48,1,29,,50,600,113.24490990000777,,,,0,"['fMRI', 'EEG', 'MEG']",[113.49392449999868],113.87743740000587,550,1,iowa_exp,114.27734539999801
72,0,240,3,0.9243241000076523,48,2,30,,50,600,116.89633740000136,,,,-50,"['fMRI', 'EEG', 'MEG']","[117.187027699998, 117.48715149999771]",117.82066150000901,550,1,iowa_exp,118.22059959999751
72,0,240,3,0.8492254000011599,48,2,31,,50,600,120.8395373999956,,,,-50,"['fMRI', 'EEG', 'MEG']","[121.14704070000153, 121.41366099999868]",121.68876279999677,550,1,iowa_exp,122.0887175000098
72,0,240,3,0.7076355000026524,48,2,32,,50,600,124.73268529999768,,,,0,"['fMRI', 'EEG', 'MEG']","[124.90671840000141, 125.19845830000122]",125.44032080000034,600,1,iowa_exp,125.84020050000981
72,1,240,4,0.8171739999961574,48,2,33,,50,600,128.46752940000442,,,,0,"['fMRI', 'EEG', 'MEG']","[128.74994110000262, 129.02494930000103]",129.28470340000058,650,1,iowa_exp,129.6917218000017
72,0,240,4,1.0243457000033231,48,3,34,,50,600,132.31070790000376,,,,0,"['fMRI', 'EEG', 'MEG']","[132.4930572000012, 132.82642640000267, 133.0516340000031]",133.3350536000071,700,1,iowa_exp,133.73496339999838
72,1,240,1,1.1827391999977408,48,3,35,,100,600,136.3622161000094,,,,0,"['fMRI', 'EEG', 'MEG']","[136.6362836000044, 137.00308199999563, 137.294939600004]",137.54495530000713,800,1,iowa_exp,137.9449042000051
72,0,240,1,0.45734700000321027,48,0,36,,100,600,140.5723791000055,,,,0,"['fMRI', 'EEG', 'MEG']",[],141.0297261000087,900,1,iowa_exp,141.42962779999652
72,2,240,3,2.2503152999997837,48,4,37,,50,600,144.06533510000736,,,,0,"['fMRI', 'EEG', 'MEG']","[144.31429589999607, 145.53144570000586, 145.78151909999724, 146.02332020000904]",146.31565040000714,950,1,iowa_exp,146.71501070000522
72,3,240,4,1.7912747999944258,48,4,38,,50,600,149.33403620000172,,,,0,"['fMRI', 'EEG', 'MEG']","[149.65809130000707, 150.233264399998, 150.48339720000513, 150.72511430000304]",151.12531099999615,1000,1,iowa_exp,151.52522330000647
72,3,240,4,1.1410063999937847,48,0,39,,50,600,154.20253730000695,,,,0,"['fMRI', 'EEG', 'MEG']",[],155.34354370000074,1050,1,iowa_exp,155.74353079999855
72,2,240,4,0.7659184999938589,48,1,40,,50,600,158.3624923000025,,,,0,"['fMRI', 'EEG', 'MEG']",[158.3867511999997],159.12841079999635,1100,1,iowa_exp,159.52835629999754
