loss,exp_type,ID,frames_before_decks,t_moves,rt_select,total,t_select,onset_win,deck_select,win,condition,session,onset_decks,offset_decks,n_moves,dur_decks,dur_win,frames_after_decks,no,init_mark,offset_win,dur_measured_decks
0,"['fMRI', 'EEG', 'MEG']",,72,"[2.0587451999999757, 2.3504056999991008]",1.774368599999434,100,2.7765141999989282,3.183864900000117,1,100,iowa_exp,2,1.0021455999994942,,2,600,240,48,1,2,,
0,"['fMRI', 'EEG', 'MEG']",,72,[],1.1994613999995636,200,7.018963599999552,7.418854699999429,2,100,iowa_exp,2,5.819502199999988,,0,600,240,48,2,1,,
-50,"['fMRI', 'EEG', 'MEG']",,72,[],0.6244326000014553,200,10.64554649999991,11.045247499998368,3,50,iowa_exp,2,10.021113899998454,,0,600,240,48,3,2,,
0,"['fMRI', 'EEG', 'MEG']",,72,[],0.5991114000007656,250,14.271747400000095,14.671680800000104,4,50,iowa_exp,2,13.67263599999933,,0,600,240,48,4,3,,
-50,"['fMRI', 'EEG', 'MEG']",,72,"[19.02368579999893, 19.765713999999207, 20.06563180000012, 20.28376819999903]",3.3251829000000726,250,20.607525299999907,21.00747659999979,3,50,iowa_exp,2,17.282342399999834,,4,600,240,48,5,2,,
0,"['fMRI', 'EEG', 'MEG']",,72,[],0.6742176000007021,300,24.30904659999942,24.708915799999886,3,50,iowa_exp,2,23.634828999998717,,0,600,240,48,6,2,,
0,"['fMRI', 'EEG', 'MEG']",,72,[],0.5342763000007835,350,27.86217729999953,28.26031030000013,3,50,iowa_exp,2,27.327900999998747,,0,600,240,48,7,2,,
0,"['fMRI', 'EEG', 'MEG']",,72,"[31.64510379999956, 31.895305499998358, 32.28712329999871]",1.6835386999991897,400,32.56277359999876,32.9620847999995,3,50,iowa_exp,2,30.879234899999574,,3,600,240,48,8,3,,
-50,"['fMRI', 'EEG', 'MEG']",,72,"[36.00532049999856, 36.23035979999986]",0.8909533000005467,400,36.48039339999923,36.88031939999928,3,50,iowa_exp,2,35.58944009999868,,2,600,240,48,9,0,,
0,"['fMRI', 'EEG', 'MEG']",,72,[39.94971309999892],0.7156895999996777,450,40.22344249999878,40.62342129999888,3,50,iowa_exp,2,39.507752899999105,,1,600,240,48,10,1,,
-50,"['fMRI', 'EEG', 'MEG']",,72,[],0.499096899999131,450,43.74153729999853,44.1414793999993,3,50,iowa_exp,2,43.242440399999396,,0,600,240,48,11,2,,
-50,"['fMRI', 'EEG', 'MEG']",,72,[],0.4574738999999681,450,47.21794399999999,47.61782839999978,3,50,iowa_exp,2,46.76047010000002,,0,600,240,48,12,2,,
