offset_win,win,ID,exp_type,loss,offset_decks,init_mark,no,n_moves,deck_select,condition,frames_before_decks,rt_select,dur_win,dur_measured_decks,session,t_select,onset_win,dur_decks,frames_after_decks,total,t_moves,onset_decks
,100,,"['fMRI', 'EEG', 'MEG']",0,,3,1,2,2,iowa_exp,48,1.056545499999629,240,,1,2.062176499999623,2.66200949999984,600,72,100,"[1.5701657999998133, 1.8285433999990346]",1.005630999999994
,100,,"['fMRI', 'EEG', 'MEG']",0,,1,2,0,2,iowa_exp,48,0.5491666000016266,240,,1,5.705060200001753,6.3050726000001305,600,72,200,[],5.155893600000127
,100,,"['fMRI', 'EEG', 'MEG']",0,,0,3,1,2,iowa_exp,48,0.9659786999982316,240,,1,9.681669699999475,10.281624600000214,600,72,300,[9.38988270000118],8.715691000001243
,100,,"['fMRI', 'EEG', 'MEG']",0,,2,4,3,2,iowa_exp,48,1.4166564000006474,240,,1,14.117200000000594,14.716704800001025,600,72,400,"[13.258046599999943, 13.474807900001906, 13.866523299999244]",12.700543599999946
,100,,"['fMRI', 'EEG', 'MEG']",0,,1,5,0,2,iowa_exp,48,0.5586122000022442,240,,1,17.69421240000156,18.29310809999879,600,72,500,[],17.135600199999317
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,6,1,4,iowa_exp,48,0.649129700002959,240,,1,21.361146800001734,21.961178099998506,600,72,550,[21.011889800000063],20.712017099998775
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,7,2,4,iowa_exp,48,0.832651500000793,240,,1,25.229369399999996,25.82936830000108,600,72,600,"[24.78069080000205, 24.997573500000726]",24.396717899999203
,50,,"['fMRI', 'EEG', 'MEG']",-250,,2,8,1,4,iowa_exp,48,0.674176600001374,240,,1,28.964095200000884,29.564103699998668,600,72,400,[28.764120700001513],28.28991859999951
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,9,0,4,iowa_exp,48,0.6240889000000607,240,,1,32.63216309999916,33.23221470000135,600,72,450,[],32.0080741999991
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,10,3,4,iowa_exp,48,1.4327998000007938,240,,1,37.067239100000734,37.66729269999996,600,72,500,"[36.14187959999981, 36.59211750000031, 36.82556929999919]",35.63443929999994
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,11,1,4,iowa_exp,48,0.6659211000005598,240,,1,40.752070900001854,41.352054700000735,600,72,550,[40.51027099999919],40.086149800001294
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,12,3,4,iowa_exp,48,1.1493886000025668,240,,1,44.92871110000124,45.52871529999902,600,72,600,"[44.17841690000205, 44.43688320000001, 44.6785349999991]",43.77932249999867
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,13,3,4,iowa_exp,48,1.641313899999659,240,,1,49.60552159999861,50.20548929999859,600,72,650,"[48.5717693000006, 49.08031570000094, 49.347099499998876]",47.96420769999895
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,14,1,4,iowa_exp,48,1.157698099999834,240,,1,53.773721900000965,54.37380649999977,600,72,700,[53.42369830000098],52.61602380000113
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,15,1,4,iowa_exp,48,0.7325999000022421,240,,1,57.525262700000894,58.1251900999996,600,72,750,[57.241848099998606],56.79266279999865
,50,,"['fMRI', 'EEG', 'MEG']",-250,,3,16,0,4,iowa_exp,48,0.632628700001078,240,,1,61.18508130000191,61.785010300001886,600,72,550,[],60.552452600000834
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,17,1,4,iowa_exp,48,0.7241488999970898,240,,1,64.95307849999881,65.55313899999965,600,72,600,[64.66995139999926],64.22892960000172
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,18,0,4,iowa_exp,48,0.6496299999998882,240,,1,68.62162470000112,69.22122189999936,600,72,650,[],67.97199470000123
