,win,loss,total_pr_trial,accumulated_score,deck_select,no,session,sub_ID,data_type,Study,Group
0,50,0,50,50,3,1,1,136,fmri,own,1
1,100,-250,-150,-100,1,2,1,136,fmri,own,1
2,50,0,50,-50,4,3,1,136,fmri,own,1
3,100,-250,-150,-200,1,4,1,136,fmri,own,1
4,100,0,100,-100,2,5,1,136,fmri,own,1
5,50,-50,0,-100,3,6,1,136,fmri,own,1
6,50,0,50,-50,4,7,1,136,fmri,own,1
7,100,0,100,50,2,8,1,136,fmri,own,1
8,50,0,50,100,3,9,1,136,fmri,own,1
9,50,-250,-200,-100,4,10,1,136,fmri,own,1
10,100,0,100,0,2,11,1,136,fmri,own,1
11,100,0,100,100,2,12,1,136,fmri,own,1
12,50,0,50,150,4,13,1,136,fmri,own,1
13,50,0,50,200,4,14,1,136,fmri,own,1
14,50,0,50,250,4,15,1,136,fmri,own,1
15,100,0,100,350,2,16,1,136,fmri,own,1
16,50,0,50,400,4,17,1,136,fmri,own,1
17,50,-50,0,400,3,18,1,136,fmri,own,1
18,50,0,50,450,4,19,1,136,fmri,own,1
19,100,-1250,-1150,-700,2,20,1,136,fmri,own,1
20,50,0,50,-650,3,21,1,136,fmri,own,1
21,100,0,100,-550,2,22,1,136,fmri,own,1
22,50,0,50,-500,4,23,1,136,fmri,own,1
23,50,0,50,-450,4,24,1,136,fmri,own,1
24,100,0,100,-350,1,25,1,136,fmri,own,1
25,100,0,100,-250,2,26,1,136,fmri,own,1
26,50,0,50,-200,3,27,1,136,fmri,own,1
27,100,0,100,-100,1,28,1,136,fmri,own,1
28,50,0,50,-50,3,29,1,136,fmri,own,1
29,100,0,100,50,1,30,1,136,fmri,own,1
30,100,0,100,150,2,31,1,136,fmri,own,1
31,100,-250,-150,0,1,32,1,136,fmri,own,1
32,50,-250,-200,-200,4,33,1,136,fmri,own,1
33,100,0,100,-100,1,34,1,136,fmri,own,1
34,50,0,50,-50,4,35,1,136,fmri,own,1
35,100,0,100,50,1,36,1,136,fmri,own,1
36,50,-50,0,50,3,37,1,136,fmri,own,1
37,50,0,50,100,4,38,1,136,fmri,own,1
