total,frames_before_decks,win,init_mark,frames_after_decks,deck_select,dur_decks,loss,no,session,rt_select,exp_type,dur_win,onset_win,offset_win,condition,offset_decks,t_select,ID,onset_decks,n_moves,t_moves,dur_measured_decks
50,150,50,1,330,3,300,0,1,4,1.6112268000142649,"['fMRI', 'EEG', 'MEG']",120,11.471010500041302,,iowa_exp,,2.604094800015446,,0.9928680000011809,1,[1.8707414999953471],
100,150,50,1,330,4,300,0,2,4,1.1821139000239782,"['fMRI', 'EEG', 'MEG']",120,26.504918000020552,,iowa_exp,,17.188059800013434,,16.005945899989456,2,"[16.521502499992494, 16.83820450003259]",
200,150,100,1,330,2,300,0,3,4,1.132251900038682,"['fMRI', 'EEG', 'MEG']",120,41.50575360003859,,iowa_exp,,32.1389019000344,,31.006649999995716,0,[],
300,150,100,1,330,2,300,0,4,4,1.2821687000105157,"['fMRI', 'EEG', 'MEG']",120,56.50642200000584,,iowa_exp,,47.2895370000042,,46.007368299993686,0,[],
300,150,50,2,330,3,300,-50,5,4,0.6155729000456631,"['fMRI', 'EEG', 'MEG']",120,71.50715000001946,,iowa_exp,,61.62354470003629,,61.00797179999063,0,[],
350,150,50,2,330,4,300,0,6,4,2.1491918999818154,"['fMRI', 'EEG', 'MEG']",120,86.50785729999188,,iowa_exp,,78.15800110000418,,76.00880920002237,1,[77.19100120000076],
400,150,50,3,330,4,300,0,7,4,1.3154675999539904,"['fMRI', 'EEG', 'MEG']",120,101.50852050003596,,iowa_exp,,92.3250657999888,,91.00959820003482,0,[],
450,150,50,0,330,4,300,0,8,4,2.215585199999623,"['fMRI', 'EEG', 'MEG']",120,116.50924069999019,,iowa_exp,,108.22580940002808,,106.01022420002846,3,"[107.20907820004504, 107.4924689999898, 107.89240770001197]",
500,150,50,0,330,4,300,0,9,4,1.5655058000120334,"['fMRI', 'EEG', 'MEG']",120,131.51005640003132,,iowa_exp,,122.57649870001478,,121.01099290000275,3,"[121.60969340003794, 121.87641050003003, 122.24316650000401]",
550,150,50,1,330,4,300,0,10,4,1.2824028999893926,"['fMRI', 'EEG', 'MEG']",120,146.51070450001862,,iowa_exp,,137.2940029000165,,136.0116000000271,2,"[136.59375790000195, 136.94469670002582]",
