condition,onset_decks,deck_select,dur_decks,rt_select,onset_win,ID,t_moves,frames_before_decks,loss,offset_decks,session,dur_measured_decks,t_select,offset_win,init_mark,n_moves,total,frames_after_decks,exp_type,no,win,dur_win
iowa_exp,1.0016105999820866,3,300,2.3633307000272907,11.482030000013765,,"[2.2984599000192247, 2.7985098999924958]",150,0,,2,,3.3649413000093773,,0,2,50,330,"['fMRI', 'EEG', 'MEG']",1,50,120
iowa_exp,15.983520600013435,2,300,1.2492537000216544,26.482680100016296,,[],150,0,,2,,17.23277430003509,,1,0,150,330,"['fMRI', 'EEG', 'MEG']",2,100,120
iowa_exp,30.984276600007433,2,300,1.0490228999988176,41.4834189999965,,[],150,0,,2,,32.03329950000625,,1,0,250,330,"['fMRI', 'EEG', 'MEG']",3,100,120
iowa_exp,46.00175749999471,2,300,2.5822701000142843,56.50075659999857,,"[47.267237599997316, 47.6842160000233, 48.13400389999151]",150,0,,2,,48.584027600008994,,2,3,350,330,"['fMRI', 'EEG', 'MEG']",4,100,120
iowa_exp,61.00247270002728,2,300,2.7989155999966897,71.5015076000127,,"[61.96809879998909, 62.351289900019765, 62.835041899990756]",150,0,,2,,63.80138830002397,,2,3,450,330,"['fMRI', 'EEG', 'MEG']",5,100,120
iowa_exp,76.00310540001374,3,300,0.9654678999795578,86.50217350001913,,[],150,-50,,2,,76.9685732999933,,2,0,450,330,"['fMRI', 'EEG', 'MEG']",6,50,120
iowa_exp,91.00389120000182,3,300,1.3321572000277229,101.50294750003377,,[91.76939989998937],150,0,,2,,92.33604840002954,,1,1,500,330,"['fMRI', 'EEG', 'MEG']",7,50,120
iowa_exp,106.00449760002084,3,300,1.3489361999672838,116.50358299998334,,[106.80344009998953],150,-50,,2,,107.35343379998812,,1,1,500,330,"['fMRI', 'EEG', 'MEG']",8,50,120
iowa_exp,121.00516090000747,3,300,3.5991375999874435,131.50431829999434,,"[122.35411569999997, 122.93746340001235, 123.50415729999077]",150,0,,2,,124.60429849999491,,3,3,550,330,"['fMRI', 'EEG', 'MEG']",9,50,120
iowa_exp,136.00596239999868,3,300,1.7823100000387058,146.5050084000104,,"[136.92143200000282, 137.33808790001785]",150,-50,,2,,137.78827240003739,,0,2,550,330,"['fMRI', 'EEG', 'MEG']",10,50,120
iowa_exp,151.00659820000874,3,300,1.8490059999749064,161.5057287000236,,"[152.03896199999144, 152.3554684999981]",150,-50,,2,,152.85560419998365,,0,2,550,330,"['fMRI', 'EEG', 'MEG']",11,50,120
iowa_exp,166.0073729000287,3,300,3.382471999968402,176.50651839998318,,"[167.3395553000155, 167.8571013000328, 168.23952629999258]",150,-50,,2,,169.38984489999712,,3,3,550,330,"['fMRI', 'EEG', 'MEG']",12,50,120
iowa_exp,181.0080443000188,3,300,2.7155878000194207,191.50713510002242,,"[182.12363190000178, 182.65693940001074, 182.9569800000172]",150,-50,,2,,183.72363210003823,,3,3,550,330,"['fMRI', 'EEG', 'MEG']",13,50,120
iowa_exp,196.00878989999183,3,300,2.4488684000098146,206.50784909998765,,"[197.00891089998186, 197.5744136000285]",150,0,,2,,198.45765830000164,,0,2,600,330,"['fMRI', 'EEG', 'MEG']",14,50,120
iowa_exp,211.00938290002523,3,300,2.565755099989474,221.5085817000363,,"[211.89170809998177, 212.40834860003088]",150,0,,2,,213.5751380000147,,0,2,650,330,"['fMRI', 'EEG', 'MEG']",15,50,120
iowa_exp,226.01018019998446,3,300,1.5326196000096388,236.50922940002056,,[227.00901959999464],150,0,,2,,227.5427997999941,,1,1,700,330,"['fMRI', 'EEG', 'MEG']",16,50,120
iowa_exp,241.0110864000162,3,300,3.1487521000090055,251.50991730001988,,"[243.40997550002066, 243.69309870002326]",150,-50,,2,,244.15983850002522,,0,2,700,330,"['fMRI', 'EEG', 'MEG']",17,50,120
iowa_exp,256.01151500002015,3,300,3.0657175999949686,266.5106293000281,,"[256.8437751000165, 257.3104873999837, 257.6105168000213]",150,0,,2,,259.0772326000151,,3,3,750,330,"['fMRI', 'EEG', 'MEG']",18,50,120
iowa_exp,271.01229919999605,2,300,1.1322784000076354,281.51140090002446,,[],150,0,,2,,272.1445776000037,,1,0,850,330,"['fMRI', 'EEG', 'MEG']",19,100,120
