total,onset_decks,frames_before_decks,dur_measured_decks,onset_win,ID,no,offset_decks,deck_select,frames_after_decks,win,t_select,rt_select,dur_decks,offset_win,session,condition,init_mark,loss,exp_type,dur_win,n_moves,t_moves
100,0.9925038000219502,150,,11.471918199968059,,1,,1,330,100,3.188412999967113,2.195909199945163,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,1,[2.0716922999708913]
200,15.973495799989905,150,,26.472573300008662,,2,,2,330,100,17.43910339998547,1.4656075999955647,300,,2,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,1,[16.839144699973986]
250,30.974188399966806,150,,41.47339449997526,,3,,3,330,50,32.43980900000315,1.4656206000363454,300,,2,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,1,[31.78982820000965]
350,45.974872299993876,150,,56.473994400002994,,4,,,330,100,,,300,,2,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,3,"[47.97395900002448, 48.77388260001317, 50.09065319999354]"
450,60.992258100013714,150,,71.49137669999618,,5,,2,330,100,63.75796070002252,2.765702600008808,300,,2,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,3,"[61.84111390000908, 62.27449629997136, 62.84118360001594]"
550,75.993020599999,150,,86.49209499999415,,6,,1,330,100,77.95860910002375,1.9655885000247508,300,,2,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,2,"[76.79188560001785, 77.275201499986]"
650,90.99370110000018,150,,101.49279170000227,,7,,2,330,100,92.52696280000964,1.5332617000094615,300,,2,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,1,[91.8257283999701]
700,105.99434799997834,150,,116.49352030002046,,8,,3,330,50,108.2434448999702,2.249096899991855,300,,2,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,1,[106.91004260000773]
800,120.99507549998816,150,,131.49419479997596,,9,,1,330,100,124.27822809998179,3.2831525999936275,300,,2,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,3,"[122.57736110000405, 123.0940566000063, 123.59402560000308]"
-350,135.99584960000357,150,,146.49495129997376,,10,,2,330,100,137.76128679997055,1.765437199966982,300,,2,iowa_exp,3,-1250,"['fMRI', 'EEG', 'MEG']",120,2,"[136.76227080001263, 137.21124340000097]"
-250,150.9966186999809,150,,161.49559090001276,,11,,2,330,100,151.8620235999697,0.8654048999887891,300,,2,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
-150,165.99724850000348,150,,176.49633599998197,,12,,2,330,100,169.8128679000074,3.815619400003925,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,2,"[167.32968760002404, 168.56275039998582]"
-50,180.99789200001396,150,,191.49703510000836,,13,,2,330,100,183.11366119998274,2.1157691999687813,300,,2,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,3,"[181.69682100001955, 182.18010910000885, 182.5967299999902]"
50,195.99908320000395,150,,206.49787530000322,,14,,2,330,100,198.06431009998778,2.065226899983827,300,,2,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,3,"[196.81421799998498, 197.21429460000945, 197.61427690001437]"
-100,210.99931069999002,150,,221.49852650001412,,15,,1,330,100,212.54823040001793,1.5489197000279091,300,,2,iowa_exp,1,-250,"['fMRI', 'EEG', 'MEG']",120,3,"[211.49820410000393, 211.8483878999832, 212.13153549999697]"
0,226.00004259997513,150,,236.49917999998434,,16,,2,330,100,227.61564089998137,1.6155983000062406,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,2,"[226.8322915000026, 227.21561459999066]"
100,241.00115309999092,150,,251.4998899999773,,17,,2,330,100,241.74962710001273,0.7484740000218153,300,,2,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
150,256.0016990000149,150,,266.5005676000146,,18,,4,330,50,256.9337237,0.9320246999850497,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
200,271.0026088000159,150,,281.5015545000206,,19,,4,330,50,273.26793450000696,2.265325699991081,300,,2,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[272.15116979996674]
250,286.0032234999817,150,,296.50245979998726,,20,,4,330,50,288.50187049998203,2.4986470000003465,300,,2,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[286.7853332000086, 288.1352151000174]"
350,301.0038666999899,150,,311.5027258999762,,21,,2,330,100,302.6192529000109,1.615386200021021,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,2,"[301.88585099997, 302.26924059999874]"
400,316.0043628999847,150,,326.5034355999669,,22,,4,330,50,317.9367075000191,1.932344600034412,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,4,"[316.5697951000184, 317.0368505999795, 317.2540835000109, 317.486551399983]"
450,331.0052314000204,150,,341.5040985000087,,23,,4,330,50,332.43722429999616,1.4319928999757394,300,,2,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[331.6872512999689, 332.037362699979]"
550,346.005792299984,150,,356.5216607999755,,24,,2,330,100,346.8547162999748,0.8489239999908023,300,,2,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,1,[346.47129499999573]
-600,361.0231118000229,150,,371.5222859000205,,25,,2,330,100,362.35553409997374,1.3324222999508493,300,,2,iowa_exp,0,-1250,"['fMRI', 'EEG', 'MEG']",120,1,[361.8552729000221]
-500,376.02384739997797,150,,386.522929299972,,26,,2,330,100,377.55607669998426,1.5322293000062928,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,2,"[376.8226932999678, 377.18958830001066]"
-400,391.02449869998964,150,,401.5236385000171,,27,,2,330,100,391.956651000015,0.9321523000253364,300,,2,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
-300,406.0252857999876,150,,416.5243773999973,,28,,2,330,100,407.074123999977,1.0488381999894045,300,,2,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,1,[406.65765479998663]
-200,421.025993200019,150,,431.5250635999837,,29,,2,330,100,422.5081576000084,1.482164399989415,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,2,"[421.6749674999737, 422.09150099998806]"
-100,436.0267101000063,150,,446.52577569999266,,30,,1,330,100,437.175611499988,1.1489013999816962,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,1,[436.8755276000011]
-250,451.0274727999931,150,,461.52649959997507,,31,,1,330,100,455.14310789998854,4.115635099995416,300,,2,iowa_exp,3,-250,"['fMRI', 'EEG', 'MEG']",120,1,[452.8430298999883]
-200,466.0281887999736,150,,476.52720130002126,,32,,4,330,50,467.07700819999445,1.048819400020875,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
-150,481.0289760999731,150,,491.52793530002236,,33,,4,330,50,481.7277303999872,0.6987543000141159,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
-100,496.0295889999834,150,,506.52859280002303,,34,,4,330,50,496.6117730999831,0.5821840999997221,300,,2,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
-50,511.03049849998206,150,,521.5293532999931,,35,,4,330,50,512.1958721000119,1.1653736000298522,300,,2,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[511.74596219998784]
-250,526.0310219000094,150,,536.5300296000205,,36,,4,330,50,527.2298462999752,1.1988243999658152,300,,2,iowa_exp,2,-250,"['fMRI', 'EEG', 'MEG']",120,1,[526.713149600022]
-150,541.0316186000127,150,,551.5307602999965,,37,,2,330,100,543.1808050000109,2.1491863999981433,300,,2,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,3,"[541.8305859999964, 542.2971591000096, 542.7638853000244]"
-50,556.0323448000127,150,,566.53149329999,,38,,2,330,100,558.1826366999885,2.150291899975855,300,,2,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,3,"[556.8483184999786, 557.2479596000048, 557.7479057000019]"
50,571.0331074999995,150,,581.5321758000064,,39,,2,330,100,572.2652536999667,1.2321461999672465,300,,2,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
100,586.0338370999671,150,,596.5328509999672,,40,,4,330,50,587.3327021999867,1.2988651000196114,300,,2,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[586.8160063999821]
