offset_win,session,onset_decks,frames_before_decks,win,condition,offset_decks,init_mark,n_moves,t_select,deck_select,rt_select,t_moves,dur_win,dur_decks,onset_win,ID,total,frames_after_decks,exp_type,loss,dur_measured_decks,no
,4,0.9976060999324545,330,50,iowa_exp,,3,0,1.906054199906066,4,0.9084480999736115,[],120,300,8.472761399927549,,50,150,"['fMRI', 'EEG', 'MEG']",0,,1
,4,16.007957299938425,330,100,iowa_exp,,2,2,17.506726799998432,1,1.498769500060007,"[16.52342270000372, 16.923469599918462]",120,300,23.5068419999443,,-100,150,"['fMRI', 'EEG', 'MEG']",-250,,2
,4,31.00869219994638,330,50,iowa_exp,,3,3,32.557468299986795,3,1.5487761000404134,"[31.424125699908473, 31.757465899921954, 32.024843999999575]",120,300,38.50750969990622,,-50,150,"['fMRI', 'EEG', 'MEG']",0,,3
,4,46.00927889999002,330,50,iowa_exp,,0,2,47.091652799979784,3,1.0823738999897614,"[46.5580661999993, 46.858247999916784]",120,300,53.50832309992984,,-50,150,"['fMRI', 'EEG', 'MEG']",-50,,4
,4,61.01022529997863,330,50,iowa_exp,,3,3,63.55891099991277,3,2.54868569993414,"[62.05882519995794, 62.49224509997293, 62.942298399982974]",120,300,68.50897229998372,,-50,150,"['fMRI', 'EEG', 'MEG']",-50,,5
,4,76.0109567999607,330,50,iowa_exp,,3,3,77.62652099994011,3,1.615564199979417,"[76.82638240000233, 77.12632009992376, 77.35972730000503]",120,300,83.50966919993516,,0,150,"['fMRI', 'EEG', 'MEG']",0,,6
,4,91.01164979999885,330,50,iowa_exp,,2,0,91.72714089998044,3,0.7154910999815911,[],120,300,98.51039439998567,,50,150,"['fMRI', 'EEG', 'MEG']",0,,7
,4,106.01233259995934,330,50,iowa_exp,,3,3,107.54440679994877,3,1.532074199989438,"[106.7278058999218, 107.06101399997715, 107.29436239995994]",120,300,113.51112329994794,,50,150,"['fMRI', 'EEG', 'MEG']",-50,,8
,4,121.01283869997133,330,50,iowa_exp,,1,1,122.27856559993234,3,1.2657268999610096,[121.77889640000649],120,300,128.5118120999541,,100,150,"['fMRI', 'EEG', 'MEG']",0,,9
,4,136.01360449998174,330,50,iowa_exp,,3,3,137.51249579992145,3,1.4988912999397144,"[136.6958014999982, 136.99586099991575, 137.26258919993415]",120,300,143.51250019995496,,150,150,"['fMRI', 'EEG', 'MEG']",0,,10
,4,151.0142754999688,330,50,iowa_exp,,2,0,151.5965181000065,3,0.5822426000377163,[],120,300,158.51321010000538,,150,150,"['fMRI', 'EEG', 'MEG']",-50,,11
,4,166.0149442999391,330,50,iowa_exp,,2,0,166.58042419992853,3,0.565479899989441,[],120,300,173.51397450000513,,150,150,"['fMRI', 'EEG', 'MEG']",-50,,12
,4,181.01567889994476,330,50,iowa_exp,,1,1,181.94785100000445,3,0.9321721000596881,[181.68116809998173],120,300,188.51460989995394,,200,150,"['fMRI', 'EEG', 'MEG']",0,,13
,4,196.01640879991464,330,50,iowa_exp,,0,2,197.18199680000544,3,1.1655880000907928,"[196.63191969995387, 196.99861999996938]",120,300,203.515343499952,,200,150,"['fMRI', 'EEG', 'MEG']",-50,,14
,4,211.01712879992556,330,50,iowa_exp,,3,3,213.0493113999255,3,2.032182599999942,"[211.96601689991076, 212.3326096999226, 212.59935679996852]",120,300,218.5160634999629,,200,150,"['fMRI', 'EEG', 'MEG']",-50,,15
,4,226.01786819996778,330,50,iowa_exp,,0,2,227.10005399992224,3,1.082185799954459,"[226.56753849994857, 226.8334052999271]",120,300,233.51680240000132,,200,150,"['fMRI', 'EEG', 'MEG']",-50,,16
,4,241.01858579996042,330,100,iowa_exp,,2,3,242.38412719999906,2,1.3655414000386372,"[241.63415259995963, 241.9009095999645, 242.13412459997926]",120,300,248.51751199993305,,300,150,"['fMRI', 'EEG', 'MEG']",0,,17
,4,256.01927519997116,330,50,iowa_exp,,3,0,257.1014785999432,4,1.0822033999720588,[],120,300,263.5181360999122,,350,150,"['fMRI', 'EEG', 'MEG']",0,,18
,4,271.019939999911,330,50,iowa_exp,,2,1,271.9188214999158,4,0.8988815000047907,[271.60219779994804],120,300,278.5189348999411,,400,150,"['fMRI', 'EEG', 'MEG']",0,,19
,4,286.0206524999812,330,50,iowa_exp,,0,3,287.50294699997175,4,1.4822944999905303,"[286.7204799000174, 287.00291729997844, 287.2361974999076]",120,300,293.5196166000096,,450,150,"['fMRI', 'EEG', 'MEG']",0,,20
,4,301.02141149993986,330,50,iowa_exp,,3,0,301.7368207999971,4,0.7154093000572175,[],120,300,308.5202975999564,,500,150,"['fMRI', 'EEG', 'MEG']",0,,21
,4,316.05548989993986,330,50,iowa_exp,,1,2,317.1708953999914,4,1.1154055000515655,"[316.7209447999485, 316.98761459998786]",120,300,323.55432230001315,,550,150,"['fMRI', 'EEG', 'MEG']",0,,22
,4,331.05608809995465,330,100,iowa_exp,,0,0,331.83827959990595,1,0.7821914999512956,"[333.05524179991335, 335.5718306999188]",120,300,338.5550460999366,,650,150,"['fMRI', 'EEG', 'MEG']",0,,23
,4,346.05687019997276,330,100,iowa_exp,,0,0,336.33881519990973,1,-9.718055000063032,"[346.5723547999514, 349.90587309992407]",120,300,353.55582729994785,,500,150,"['fMRI', 'EEG', 'MEG']",-250,,24
,4,361.057567599928,330,50,iowa_exp,,2,1,363.33983219997026,4,2.2822646000422537,[354.5132381999865],120,300,368.5565121999243,,300,150,"['fMRI', 'EEG', 'MEG']",-250,,25
,4,376.0582915999694,330,50,iowa_exp,,1,1,377.80743679997977,3,1.749145200010389,[377.2238499999512],120,300,383.5572109000059,,350,150,"['fMRI', 'EEG', 'MEG']",0,,26
