"gain" "loss" "deck" "trial" "subjID"
50 0 3 1 136
100 -250 1 2 136
50 0 4 3 136
100 -250 1 4 136
100 0 2 5 136
50 -50 3 6 136
50 0 4 7 136
100 0 2 8 136
50 0 3 9 136
50 -250 4 10 136
100 0 2 11 136
100 0 2 12 136
50 0 4 13 136
50 0 4 14 136
50 0 4 15 136
100 0 2 16 136
50 0 4 17 136
50 -50 3 18 136
50 0 4 19 136
100 -1250 2 20 136
50 0 3 21 136
100 0 2 22 136
50 0 4 23 136
50 0 4 24 136
100 0 1 25 136
100 0 2 26 136
50 0 3 27 136
100 0 1 28 136
50 0 3 29 136
100 0 1 30 136
100 0 2 31 136
100 -250 1 32 136
50 -250 4 33 136
100 0 1 34 136
50 0 4 35 136
100 0 1 36 136
50 -50 3 37 136
50 0 4 38 136
100 0 2 39 136
100 0 2 40 136
50 0 3 41 136
100 -250 1 42 136
100 0 2 43 136
50 0 4 44 136
100 0 2 45 136
50 0 4 46 136
50 0 4 47 136
100 -1250 2 48 136
50 -50 3 49 136
100 0 1 50 136
50 0 4 51 136
50 0 4 52 136
100 0 2 53 136
50 -50 3 54 136
100 0 1 55 136
100 0 2 56 136
100 0 1 57 136
50 0 4 58 136
50 0 3 59 136
100 0 2 60 136
50 0 4 61 136
50 0 4 62 136
100 0 2 63 136
100 -250 1 64 136
50 0 4 65 136
100 0 2 66 136
50 0 3 67 136
100 0 1 68 136
50 -50 3 69 136
100 -250 1 70 136
50 -250 4 71 136
50 0 3 72 136
100 0 2 73 136
50 0 4 74 136
100 -250 1 75 136
50 -50 3 76 136
100 0 2 77 136
50 0 3 78 136
100 0 2 79 136
100 -250 1 80 136
100 -1250 2 81 136
100 0 1 82 136
50 0 4 83 136
50 -50 3 84 136
100 0 2 85 136
50 0 3 86 136
100 0 2 87 136
50 -50 3 88 136
50 -50 3 89 136
50 0 4 90 136
100 -250 1 91 136
100 0 2 92 136
50 -50 3 93 136
50 0 4 94 136
50 -50 3 95 136
100 0 1 96 136
100 -250 1 97 136
50 0 3 98 136
50 0 4 99 136
50 0 4 100 136
50 0 4 1 139
50 0 4 2 139
50 -250 4 3 139
50 0 4 4 139
100 -250 1 5 139
100 -250 1 6 139
100 0 2 7 139
50 0 4 8 139
100 0 2 9 139
100 0 2 10 139
100 0 2 11 139
100 0 2 12 139
50 0 4 13 139
50 0 4 14 139
100 0 2 15 139
50 0 4 16 139
50 0 4 17 139
50 0 4 18 139
50 -250 4 19 139
50 0 3 20 139
50 -50 3 21 139
100 0 1 22 139
100 0 1 23 139
100 0 1 24 139
100 -250 1 25 139
50 0 3 26 139
100 -1250 2 27 139
100 -250 1 28 139
100 0 1 29 139
100 0 1 30 139
100 -250 1 31 139
50 -50 3 32 139
100 0 2 33 139
50 -50 3 34 139
50 0 4 35 139
100 0 2 36 139
100 0 2 37 139
50 0 4 38 139
100 0 2 39 139
50 0 4 40 139
100 0 1 41 139
100 0 2 42 139
50 0 3 43 139
100 0 2 44 139
100 0 2 45 139
100 0 1 46 139
100 0 2 47 139
50 0 3 48 139
100 0 1 49 139
100 -1250 2 50 139
100 0 2 51 139
100 0 2 52 139
100 0 2 53 139
100 0 2 54 139
100 -250 1 55 139
100 0 2 56 139
100 0 2 57 139
50 0 4 58 139
50 0 4 59 139
50 0 4 60 139
100 0 2 61 139
50 0 4 62 139
50 0 4 63 139
100 0 2 64 139
100 -1250 2 65 139
100 0 2 66 139
100 0 2 67 139
100 0 2 68 139
100 0 2 69 139
100 0 1 70 139
100 -250 1 71 139
50 0 4 72 139
50 0 4 73 139
50 0 4 74 139
50 0 4 75 139
50 -250 4 76 139
100 0 2 77 139
100 0 2 78 139
100 0 2 79 139
50 0 4 80 139
100 -250 1 81 139
100 0 2 82 139
100 0 2 83 139
50 0 4 84 139
50 0 4 85 139
50 0 4 86 139
50 0 4 87 139
50 0 4 88 139
50 0 4 89 139
50 0 4 90 139
50 0 4 91 139
50 -250 4 92 139
100 0 2 93 139
100 0 2 94 139
100 0 2 95 139
50 0 4 96 139
50 0 4 97 139
50 0 4 98 139
50 0 4 99 139
50 0 4 100 139
100 0 2 1 140
50 0 3 2 140
50 0 4 3 140
100 -250 1 4 140
100 0 2 5 140
100 -250 1 6 140
100 -250 1 7 140
100 0 2 8 140
100 0 2 9 140
100 0 2 10 140
100 0 2 11 140
50 -50 3 12 140
50 0 4 13 140
100 -1250 2 14 140
100 0 1 15 140
100 0 1 16 140
100 0 1 17 140
100 -250 1 18 140
100 0 2 19 140
50 0 3 20 140
50 -50 3 21 140
50 -50 3 22 140
50 0 3 23 140
50 0 3 24 140
50 -250 4 25 140
100 0 1 26 140
100 0 2 27 140
50 0 3 28 140
50 0 4 29 140
100 0 2 30 140
100 0 2 31 140
100 0 2 32 140
100 0 2 33 140
100 0 1 34 140
100 -250 1 35 140
50 0 4 36 140
50 0 4 37 140
50 0 4 38 140
50 0 4 39 140
50 0 4 40 140
100 0 1 41 140
50 0 3 42 140
50 0 4 43 140
100 0 2 44 140
100 0 1 45 140
100 0 1 46 140
100 -250 1 47 140
100 0 1 48 140
100 -250 1 49 140
100 -1250 2 50 140
50 -50 3 51 140
50 -250 4 52 140
100 -250 1 53 140
100 0 2 54 140
100 0 2 55 140
50 -50 3 56 140
50 0 4 57 140
100 -250 1 58 140
100 0 2 59 140
100 0 2 60 140
